id,doi,title,oa_status,is_oa,best_oa_pdf_url,license
doi:10.2466/pr0.96.1.122-128,10.2466/pr0.96.1.122-128,Foot-in-the-Door and Door-in-the-Face: A Comparative Meta-Analytic Study,closed,false,,
openalex:W1996792641,10.3200/socp.145.2.237-240,The Effectiveness of Compliance Techniques: Foot in the Door Versus Door in the Face,closed,false,,
openalex:W2120779670,10.1007/s12144-010-9082-x,Mindlessness Revisited: Sequential Request Techniques Foster Compliance by Draining Self-control Resources,hybrid,true,https://link.springer.com/content/pdf/10.1007/s12144-010-9082-x.pdf,cc-by-nc
openalex:W1991369644,10.1037/0022-3514.76.2.192,A disrupt-then-reframe technique of social influence.,closed,false,,
openalex:W2040842263,10.1080/00224545.1986.9713577,Compliance Employing a Combined Foot-in-the-Door and Door-in-the-Face Procedure,closed,false,,
openalex:W1539499155,10.1111/j.1468-2958.1984.tb00028.x,SEQUENTIAL-REQUEST PERSUASIVE STRATEGIES.,closed,false,,
openalex:W3013551346,10.1037/hea0000854,The effect of persuasive messages on hospital visitors’ hand hygiene behavior.,closed,false,,
openalex:W2898511685,10.1080/09669582.2018.1526294,Loss or gain? The role of message framing in hotel guests’ recycling behaviour,green,true,https://researchportal.port.ac.uk/portal/en/publications/loss-or-gain-the-role-of-message-framing-in-hotel-guests-recycling-behaviour(e6afe5d7-5963-446b-84e8-00681cf32af2).html,
openalex:W2741403893,10.5334/irsp.15,"When, How and Why is Loss-Framing More Effective than Gain- and Non-Gain-Framing in the Promotion of Detection Behaviors",gold,true,http://www.rips-irsp.com/articles/10.5334/irsp.15/galley/67/download/,cc-by
openalex:W2768187963,10.1016/j.giq.2017.11.006,Embedding persuasive features into policy issues: Implications to designing public participation processes,hybrid,true,https://doi.org/10.1016/j.giq.2017.11.006,cc-by
doi:10.1016/j.ijpsycho.2009.05.006,10.1016/j.ijpsycho.2009.05.006,"Something to gain, something to lose: The cardiovascular consequences of outcome framing",closed,false,,
