id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
openalex:W2009589362,10.1145/1520340.1520645,2009,Authority vs. peer,"S. Shyam Sundar, Qian Xu, Anne Oeldorf-Hirsch",,"From the most e-mailed stories of the day to the most favorite stocks of the week, Web interfaces are rife with cues conveying other users' ratings and reviews of products and services. Do these peer opinions indeed affect our decisions? And if so, are they as strong in their impact as cues conveying authority/expertise (i.e., high source credibility)? We explored these questions through an experiment (N = 243) guided by the heuristic-systematic model in social psychology. Bandwagon/peer cues are generally more persuasive, but when they are inconsistent, the authority cue influences decisions. In general, task involvement promotes systematic processing of these cues. Interestingly, we found no difference in perceived authority between CNET Editor's Choice seal and a seal from a fictitious ""authority"" (Zig!), among other indications of heuristic processing. We discuss design implications for user interfaces in general and recommendation agents in particular.",authority,2,include,"2009 study on authority vs peer cues × web user decisions; eligible (experimental, authority + social-proof, decision outcome).",llm-claude-opus-4-7
openalex:W2284731459,,2010,Creating More Credible and Likable Travel Recommender Systems: The Influence of Virtual Agents on Travel Recommender System Evaluation,Kyung Hyan Yoo,OakTrust (Texas A&M University Libraries),"To help online trip planners, some online travel agencies and travel service providers have adopted travel recommender systems. Although these systems are expected to support travelers in complex decision-making processes, they are not used efficiently by travelers due to a lack of confidence in the recommendations they provide. It is important to examine factors that can influence the likelihood of recommendations to be accepted and integrated into decision-making processes. The persuasion literature suggests that people are more likely to accept recommendations from credible and likable sources. It has also been found that technologies can be more credible and likable when they give a variety of social cues that elicit social responses from their human users. Thus, it is argued that enhancing the social aspects of travel recommender systems is important to create more persuasive systems.\n\nOne approach to enhancing the social presence of recommender systems is to use a virtual agent. Current travel recommender systems use various types of virtual agents. However, it is still not clear how those virtual agents are perceived by travel recommender system users and influence users' system evaluations and interactions with these systems. Consequently, this dissertation aimed to investigate the influence of virtual agents presented in travel recommender systems on system users' perceptions. Specifically, the virtual agents' anthropomorphism as well as similarity and authority cues on system users' perceptions of system credibility and liking were examined.\n\nFor this purpose, two experiments were conducted. For Study 1, the impacts of anthropomorphism of the virtual agents on users' perceptions of virtual agents as well as recommender systems in terms of credibility and attractiveness/liking were examined. Anthropomorphism was manipulated with visual human appearance and voice output. Study 2 tested the influence of virtual agents? similarity and authority on travel recommender system users' perceptions of virtual agents and system credibility and attractiveness/liking. Similarity and authority of the virtual agent were tested by manipulating nonverbal cues (age and outfit) of the agent.\nThe results showed that the characteristics of virtual agents have some influences on system users' perceptions of virtual agents as well as recommender systems. Specifically, a human-like appearance of the virtual agent is found to positively influence users' perceived attractiveness of the virtual agent while voice outputs were found to enhance users' liking of the system (Study 1). Findings also indicate that RS users' perceptions of virtual agent expertise are increased when virtual agents wear a uniform rather than a casual outfit (Study 2). In addition, system users' perceptions of the virtual agent's credibility are found to have a significant influence on users' perceived credibility and liking of the overall system, which implies an important role of virtual agents in recommender system evaluations. Further, perceived credibility and liking of recommender systems lead to favorable evaluations of the recommendations, which, in turn, increase users' intentions to travel to the recommended destination.\nPast travel recommender system studies have largely neglected the social role of recommender systems as advice givers. Also, it is not clear whether the specific characteristics of virtual agents presented as a part of the system interface influence system users' perceptions. This dissertation sought to close this knowledge gap. By applying classic interpersonal communication theories to human and system relationships, this dissertation expands the scope of traditional theories used in the context of studying recommender systems. Further, the results of the research presented in this dissertation provide insights for tourism marketing as well as practical implications for travel recommender system design.",authority,1,include,"Texas A&M 2010 on virtual agents × credibility/liking in travel recommender systems; eligible (commercial context, persuasion mechanisms, recommendation-evaluation outcome).",llm-claude-opus-4-7
openalex:W2035321912,10.1080/10410236.2012.700391,2012,To Tweet or to Retweet? That Is the Question for Health Professionals on Twitter,"Ji Young Lee, S. Shyam Sundar",Health Communication,"Guided by the MAIN model ( Sundar, 2008 ), this study explored the effects of three interface cues conveying source attributes on credibility of health messages in Twitter: authority cue (whether a source is an expert or not), bandwagon cue (the number of followers that a source has-large vs. small), and source proximity cue (distance of messages from its original source-tweet vs. retweet). A significant three-way interaction effect on perceived credibility of health content was found, such that when a professional source with many followers tweets, participants tend to perceive the content to be more credible than when a layperson source with many followers tweets. For retweets, however, the exact opposite pattern was found. Results also show that for tweets, content credibility was significantly associated with the perceived expertise of proximal source, whereas for retweets, it was associated with the perceived trustworthiness of proximal source. Theoretical and practical implications are discussed.",authority,1,include,"Health Communication 2012 on authority cue + bandwagon (social-proof) cues × health-message credibility on Twitter; eligible (experimental, authority + social-proof, credibility outcome).",llm-claude-opus-4-7
doi:10.4018/ijicst.2013010102,10.4018/ijicst.2013010102,2013,Social Influence Online,"Bradley M. Okdie, Rosanna E. Guadagno, Petia K. Petrova, Wyley B. Shreves",International Journal of Interactive Communication Systems and Technologies,"This study examined the extent to which communicator salience manipulated by varying communication modes, authority-based social influence, and gender affect persuasion in online environments by utilizing a 2 by 2 between subjects design. Participants of the experiment were either presented with an authority-based influence attempt or no influence attempt. They then engaged in a persuasive interaction with a same-sex confederate via computer-mediated communication (CMC) or face-to-face. Results revealed that men in the Authority condition who interacted via CMC were more persuaded then men in the Peer condition who interacted via CMC. Additionally, men reported more confidence when interacting via CMC and reported that their decision was more influenced by the confederate online. Moreover, perceptions of the confederate varied by gender and communication mode. Analysis suggests that authority based influence tactics via CMC are more effective for men than for women.",authority,1,include,Int J Interactive Communications 2013 2×2 experiment on communication-mode × authority × persuasion online; eligible.,llm-claude-opus-4-7
openalex:W3046666405,10.20429/amtp.2013.23,2013,Good Media Mix Strategies for Bad Times: Sequencing Optimizes,"Marsha D. Loda, Barbara Coleman",,"This paper summarizes an experiment which compares three commonly used marketing elements: advertising, Internet websites, and publicity. These elements are rated on two dependent variables: message acceptance (credibility and message strength), and message response (attitude and purchase intent). Direct effects of each variable are examined. Sequencing effects are also examined to see if it matters in what order potential customers encounter the marketing message. Results indicate that a website, used alone, can make a significant difference in message strength. However, to impact purchase intent, a multimedia campaign is necessary. The current study extends the authors’ 2005 research comparing only advertising and publicity on the same variables. The publicity-lead sequence in both studies produced some of the strongest results on the purchase intent variable. Advertising-only was not significant for any variable in either study but was significantly present in sequencing effects. Applications for marketing professionals are included.",authority,1,include,2013 experiment on media-mix (ad/website/publicity) × sequencing × message acceptance / purchase intent; eligible.,llm-claude-opus-4-7
openalex:W1849737682,10.1080/10410236.2014.981663,2015,Motivating contributions to online forums: can locus of control moderate the effects of interface cues?,"Hyang Sook Kim, S. Shyam Sundar",Health Communication,"In an effort to encourage users to participate rather than lurk, online health forums provide authority badges (e.g., guru) to frequent contributors and popularity indicators (e.g., number of views) to their postings. Studies have shown the latter to be more effective, implying that bulletin-board users are motivated by external validation of their contributions. However, no consideration has yet been given to individual differences in the influence of such popularity indicators. Personality psychology suggests that individuals with external, rather than internal, locus of control are more likely to be other-directed and therefore more likely to be motivated by interface cues showing the bandwagon effect of their online posts. We investigate this hypothesis by analyzing data from a 2 (high vs. low authority cue) × 2 (strong vs. weak bandwagon cue) experiment with an online health community. Results show that strong bandwagon cues promote sense of community among users with internal, rather than external, locus of control. When bandwagon cues are weak, bestowal of high authority serves to heighten their sense of agency. Contrary to prediction, weak bandwagon cues appear to promote sense of community and sense of agency among those with external locus of control. Theoretical and practical implications are discussed.",authority,1,include,"Health Comm 2015 study on authority badges + popularity indicators × online forum participation moderated by locus of control; eligible (experimental, authority + social-proof cues, behavior outcome).",llm-claude-opus-4-7
openalex:W2768187963,10.1016/j.giq.2017.11.006,2017,Embedding persuasive features into policy issues: Implications to designing public participation processes,"Habin Lee, Aggeliki Tsohou, Youngseok Choi",Government Information Quarterly,"Public participation is one of the most important tasks for policy making processes, and public authorities are lacking ideas on designing public participation processes facilitating active citizen participation. Based on a persuasion theory, this paper examines if policy issues embedded with persuasive features draw more attention, longer elaboration time and more participation. Particularly preference matching, location matching, social proof and authority are identified as persuasive features in e-participation context and propositions on their impacts on citizens' participation processes are developed. A prototype mobile participation tool is developed to test the propositions and tested by 80 experiment participants in the UK and Turkey. The findings indicate that the mixture of central and peripheral features is most effective in drawing participation while single feature has limitations. This study also argues that the design of e-participation tools needs to consider the psychological aspects of citizens for motivating their participations.",authority;commitment-consistency;social-proof,3,include,"Government Information Quarterly 2017 study on persuasive features (social-proof, authority, consistency) for public-participation processes; eligible (experimental, persuasion mechanisms, participation outcome).",llm-claude-opus-4-7
openalex:W2807840143,10.3389/fcomm.2018.00030,2018,The Effect of Online Social Proof Regarding Organic Food: Comments and Likes on Facebook,"Femke Hilverda, M. Kuttschreuter, Ellen Giebels",Frontiers in Communication,"Social media created a new information environment (e.g. Rutsaert et al., 2013b). Among social media channels, Facebook is the most popular one (Cheung et al., 2011). Using Facebook people can exchange information rapidly with others. Consumers can post a statement or message on Facebook (a post), respond to these posts (the comments) and indicate that they agree with the post and/or comment by using the “thumb up” symbol (the likes). Both comments and likes are cues of social proof, e.g. the viewpoints of others. We investigated how social proof in an online environment impacts reactions towards organic foods in two experimental studies. In study 1, using a representative sample of Dutch internet users (n=124), we manipulated comment valence (positive vs negative) and reinforcement (number of likes: high vs low) on a fictitious Facebook page that included four comments. Consumers’ perceptions, feelings and behavior, such as risk perception, emotions and intended purchasing behavior, were measured. Comment evaluation was used as a moderator. In study 2 (n=88) a full Facebook page, with mixed valence statements, was shown; either the positive or negative statements were reinforced by likes. Results of study 1 showed that the way respondents evaluated the comments in terms of usefulness affected benefit perception and the motivation to find information. Moreover, the interaction between valence and comment evaluation was significant for all dependent variables. That is, the predicted effect of social proof only occurred when the comments were perceived as useful. The number of likes did not have an effect. Results of study 2 where participants watched a full Facebook page with mixed valence comments, showed that the number of likes had an effect on consumers’ reactions, specifically on negative emotions and willingness to pay. This research provides new insights in the effects of explicit as well as implicit online social proof on attitudes towards a positively evaluated topic, namely organic food.",authority;social-proof,2,include,"Frontiers Communication 2018 experiment on social-proof (FB likes/comments) for organic food information; eligible (experimental, social-proof, consumer-attitude outcome).",llm-claude-opus-4-7
openalex:W2885111638,,2018,Gender Differences in Selective Attention and Shopping Intention in the case of Taobao Live-show: An Eye-Tracking Study,"Qing Xu, Mengqi Fei, Huizhong Tan",Journal of the Association for Information Systems,"Live-show video was introduced into electronic marketing place two years ago. However, it still remains unknown how such new communication ways between buyers and sellers influence individual online shopping intention. How the limited attention resource would be assigned to the main information of endogenous and exogenous cues in the video, and then lead to shopping intention become interesting and important research questions. This study examines these questions from the view of gender difference and social influence with eye-tracking tool. An experiment is designed to capture the visual pattern of selective attention to endogenous and exogenous cues when participants watching Taobao live-show video. Data from Eye-tracking index and questionnaire will be collected to validate the proposed model. Potential contributions and implications for future research are discussed.",authority,1,include,"J Association Information Systems 2018 eye-tracking study on Taobao live-show × gender × shopping intention; eligible (experimental, attention/persuasion cues, shopping-intent outcome).",llm-claude-opus-4-7
openalex:W2950156209,10.17615/p1jd-2m87,2019,"Effects of Source of Customized Recommendations, Type of Product, and Amount of Choice on Consumers' Attitudes",Yeuseung Kim,Carolina Digital Repository (University of North Carolina at Chapel Hill),"Online shopping has gained tremendous popularity in the past decade, yet research is still needed on the psychological effects of the various elements that may affect consumers' attitudes toward online shopping websites. This dissertation examined the effects of customized recommendation sources, type of product, and amount of choice on consumers' attitudes toward a website. The interplay among the three variables was explored by asking participants to browse a shopping website and to report their perceptions of the site. Using a 2 (Product type: identity-signaling, non-identity-signaling products) x 2 (Recommendation source cue: experts, other consumers) between-subjects experimental design, study one showed that people have a more positive attitude toward a customized website with customized recommendations for identity-signaling products than for non-identity-signaling products. While the source of recommendations (experts and other consumers) did not affect attitudes toward the website, perceived website credibility was found to mediate the relationship between the source and attitude toward the website. In a 2 (Recommendation source: present, absent) x 2 (Amount of choice: high, low) between-subjects design, study two examined the main effects of the presence of explanation about the source of recommendations and amount of choice on attitude toward the website. As predicted, people had more positive attitudes toward the website when the source of recommendations was provided than when there was a lack of explanation as to how the recommendations were made. Contrary to the proposed hypothesis, greater number of choices did not have the expected positive effect on attitude toward the website. However, as predicted, when the source of recommendations was provided, people found recommendations more useful when asked to choose a product from a greater number of options but not when only a limited number of choices was provided. Overall, the findings of this dissertation add to the studies of customization and source of information. The results showed that the effect of providing customized service is not uniform and may be moderated by the type of product sold on an e-commerce site. While the source of recommendations did not have a direct effect on attitude toward the website, it influenced the overall credibility of the website, which is an important criterion for people when choosing a website to purchase products. Although study one did not show that different sources of recommendations have a varying effect on attitudes toward the website, study two showed that the presence of the source of recommendations has a positive effect on attitudes than the absence of one. Furthermore, making the source of recommendations clear to people had a positive effect on perceived usefulness of the recommendations when they were faced with a greater number of alternatives from which to choose.",authority,1,include,"UNC dissertation 2019 on customized-recommendation source × product type × choice amount × consumer attitudes; eligible (dissertation per §4.8, commercial context, authority + choice mechanisms).",llm-claude-opus-4-7
openalex:W2979463990,10.1002/hbe2.177,2019,Risk and benefit perceptions of human enhancement technologies: The effects of Facebook comments on the acceptance of nanodesigned food,"M. Kuttschreuter, Femke Hilverda",Human Behavior and Emerging Technologies,"The introduction of a new technology, such as a human enhancement technology, may induce apprehension and concern among the general public. Social media enable individuals to find information and share their insights and concerns regarding new technologies. This results in an abundance of viewpoints that guides the individual's acceptance and decision-making. A relevant question for this special issue is to what extent attitudes toward human enhancement technologies are influenced by online cues that signal the views of other people without obvious relevant expertise, such as online comments (social proof). An online experiment focusing on the enhancement of human health and the functioning of the human body through the application of nanotechnology in food was conducted. The study investigated to what extent social proof impacted views on the application of nanotechnology in food. The valence of comments on a fake Facebook image with four comments was manipulated (positive, negative, mixed). A representative sample of Dutch Internet users (n = 289) completed the study. Perceptions, feelings, behavior, and information need were measured. Results showed that comment valence had a significant effect on risk perception, benefit perception and attitude: the more positive the comments read by the participants, the lower risk perception, the higher benefit perception and the more positive the attitude toward nanodesigned food. Significant interaction effects of initial feelings of dread and comment valence were further found for risk perception and willingness to buy. In contrast, there were no significant interactions of initial feelings of optimism and comment valence. Implications for risk communication regarding human enhancement technologies are discussed.",authority;social-proof,2,include,"Human Behavior and Emerging Technologies 2019 on social media (FB) comments × authority/social-proof × nanodesigned food acceptance; eligible (experimental, social-proof, consumer-acceptance outcome).",llm-claude-opus-4-7
openalex:W3211642163,,2020,Where persuasion and culture meet : The cultural influence between Turkish and Dutch consumers in the effectiveness of persuasive techniques in e-commerce,Kerim Aksit,,"The rise of global e-commerce has led to an increase in e-commerce activities between Turkey and the Netherlands. Subsequently, online retailers from both countries are confronted with a new consumer culture. This study has the goal of investigating these cultural differences and how they may influence consumer responses towards persuasive techniques in e-commerce. This study was conducted with an online experiment (N=284) that attempted to simulate the online consumer journey via two product pages containing authority and social proof cues. The cultural values of the participants were also measured. Contrary to expectations, the Dutch participants portrayed a higher degree in power distance than the Turkish participants, while no significant difference in collectivism was measured. Moreover, the authority cue had a positive effect on the affective and behavioral attitudes of the Dutch participants. However, the authority cue had a negative effect on the behavioral attitude of the Turkish participants. For the social proof cue, no significant effect was measured. Also, no moderating effect of the power distance and collectivism scores on the effectiveness of the peripheral cues could be established. It was not possible to use culture to predict the susceptibility of the Dutch and Turkish online consumers towards peripheral cues.",authority,1,include,"2020 N=284 online experiment on persuasive techniques in e-commerce × Turkish/Dutch cultural differences; eligible (experimental, multiple persuasion mechanisms, commercial outcome).",llm-claude-opus-4-7
