id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
openalex:W2010273563,10.1111/j.1445-5994.1998.tb01953.x,1998,Commercial detailing techniques used by pharmaceutical representatives to influence prescribing,"Elizabeth E. Roughead, Ken Harvey, Andrew L. Gilbert",Australian and New Zealand Journal of Medicine,"AIM: To determine the use of influence techniques by pharmaceutical representatives in their encounters with medical practitioners. METHOD: We identified six influence techniques from the marketing literature which are thought to be commonly used by sales people. These have been termed the principles of reciprocity, friendship/liking, commitment/consistency, social validation, authority, and scarcity. We examined the use of these techniques by analysing audio-recordings of pharmaceutical representatives' presentations to medical practitioners. RESULTS: Sixteen recordings, detailing 64 medicines, were obtained from seven medical practitioners. Reciprocation was the most commonly observed method of influence. Samples, gifts, printed material, patient information leaflets or invitations were offered in all encounters. Appeals to authority figures, where promotional claims were supported by reference to professors or specialists, specialist groups and specialist hospitals, were recorded. Social validation acts, where reference was made to the peer group were also common. Commitment acts were observed to occur in two ways; the first was as a direct request to use the product detailed and the second was as a series of questions or statements which gradually moved from pre-agreed areas to solicitation of a commitment to prescribe the drug. CONCLUSION: Influence techniques were found to be commonly used by pharmaceutical representatives when they detailed products to medical practitioners. Medical practitioners may not be aware of the potential effect these techniques can have on their prescribing practices. Knowledge of these techniques must be incorporated into educational programmes designed to provide health professionals with critical appraisal skills.",commitment-consistency;reciprocity,3,include,"Australian and New Zealand J Medicine 1998 on pharmaceutical-sales-rep use of six influence techniques (incl reciprocity/commitment) with physicians; eligible (commercial pharma-sales context, multiple persuasion techniques, prescriber-decision outcome).",llm-claude-opus-4-7
doi:10.1177/0146167299258006,10.1177/0146167299258006,1999,Compliance with a Request in Two Cultures: The Differential Influence of Social Proof and Commitment/Consistency on Collectivists and Individualists,"Robert B. Cialdini, Wilhelmina Wosinska, Daniel W. Barrett, Jonathan Butner, Malgorzata Gornik-Durose",Personality and Social Psychology Bulletin,"University students in Poland and the United States, two countries that differ in individualistic-collectivistic orientation, indicated their willingness to comply with a request to participate without pay in a marketing survey. Half were asked to do so after considering information regarding their own history of compliance with such requests, whereas the other half were asked to do so after considering information regarding their peers’ history of such compliance. This was designed to assess the impact of two social influence principles (commitment/consistency and social proof, respectively) on participants’ decisions. As expected, although both principles were influential across cultures, the commitment/consistency principle had greater impact on Americans, whereas the social proof principle had greater impact on Poles. Additional analyses indicated that this effect was due principally, but not entirely, to participants’ personal individualistic-collectivistic orientations rather than to the dominant individualistic-collectivistic orientation of their cultures.",commitment-consistency;social-proof,3,include,"PSPB 1999 cross-cultural compliance experiment (Poland/US) on social-proof vs commitment-consistency, with marketing survey as target request; eligible (experimental, commercial-request context, two compliance techniques).",llm-claude-opus-4-7
openalex:W2036579821,10.1080/0144619052000345600,2005,Using Commitments to Drive Consistency: Enhancing the Effectiveness of Cause‐related Marketing Communications,"Rajiv Vaidyanathan, Praveen Aggarwal",Journal of Marketing Communications,"Research has consistently found that, despite a high degree of expressed concern about the environment, few individuals are willing to follow‐up this concern with behavioural actions in support of the environment, particularly when these actions require the individuals to absorb some costs. Using the theoretical framework of commitment–consistency theory, two studies were conducted in order to examine the effect of a small, active commitment to an environmental cause on consumer preference for an advertised product that supported that cause. The empirical results show strong support for the fact that persuading consumers to make an active commitment to a cause can serve as an important prerequisite for behavioural consistency (in terms of the willingness to buy a product). Further, the paper adds to the evidence on self‐perception theory as an underlying mechanism for the effectiveness of the technique. It is also found that, although commitment increases willingness to buy a product related to the cause, the effect works only when the cost associated with supporting the cause is minimal. The implications for marketing communications theory and practice are discussed.",commitment-consistency,1,include,"J Marketing Communications 2005 two studies on commitment-consistency for environmental cause-related marketing; eligible (experimental, commitment-consistency, consumer-preference outcome).",llm-claude-opus-4-7
openalex:W2170232927,10.1207/s15327663jcp1503_3,2005,The Unconscious Consumer: Effects of Environment on Consumer Behavior,"Ap Dijksterhuis, Pamela K. Smith, Rick B. van Baaren, Daniël Wigboldus",Journal of Consumer Psychology,"In this article, we argue that consumer behavior is often strongly influenced by subtle environmental cues. Using grocery shopping as an example (or a “leitmotif,” if you wish), we first argue that the traditional perspective on consumer choice based on conscious information processing leaves much variance to be explained. Instead, we propose that many choices are made unconsciously and are strongly affected by the environment. Our argument is based on research on the perception–behavior link and on automatic goal pursuit.",commitment-consistency,1,include,J Consumer Psych 2005 'Unconscious Consumer' on environmental cues × consumer behavior (incl commitment-consistency); eligible (review of empirical consumer-influence literature).,llm-claude-opus-4-7
openalex:W65327668,,2005,A general framework for modifying health-relevant behavior: reducing undergraduate binge drinking by appealing to commitment and reciprocity,Amy E. Conner,K-State Research Exchange (Kansas State University),"Binge drinking is a serious health problem among American college students (Wechsler, Lee, Kuo, & Lee, 2000a). One technique that may reduce binge drinking is compliance. Cialdini (2001) defined compliance as taking an action because it has been requested and described sequential request tactics, including the commitment/consistency-based foot-in-the-door (FITD) tactic, and the reciprocity-based door-in-the-face (DITF) tactic. Cialdini claimed that these tactics yield automatic compliance. The present research investigated Cialdini’s automaticity assumption within the context of reducing binge drinking, by including a neutral or weak message along with the compliance request (consistent with Brannon & Brock, 2001). The main hypothesis was that compliance is not automatic, as demonstrated by differential compliance consistent with message strength. Parallel experiments investigated compliance with requests to reduce one’s drinking behavior (Experiment 1, N=129) or communicate about responsible drinking (Experiment 2, N=122). Participants were randomly assigned to one of six conditions in each experiment. Consistent with the purpose of each experiment, participants indicated whether they would comply with initial requests consistent with FITD and DITF methodology, or were not asked to comply with an initial request (control); read either a neutral or weak message about the importance of moderate alcohol consumption; then responded to the target request (dependent variable) by reporting the likelihood that they would not drink excessively for one week (Experiment 1) or would discuss responsible drinking with someone (Experiment 2). Participants in both experiments completed demographic and alcohol consumption information and a social desirability measure (Strahan & Gerbasi, 1972). Data were submitted to 2(Strength) × 3(Appeal) × 2(Gender) ANCOVAs (drinks per occasion and social desirability were covariates). Experiment 1 revealed a significant Strength × Appeal interaction, with the DITF and FITD appeals eliciting lower compliance rates than the control appeal when accompanied by a weak persuasive message, thereby refuting Cialdini’s automaticity assumption. A significant main effect for appeal in Experiment 2 (DITF yielded lower compliance than FITD or control appeal) did not support Cialdini’s (2001) claim. Correlates of drinking behavior among college students are discussed, as are implications of the present research for compliance theory and reducing binge drinking on American college campuses. A GENERAL FRAMEWORK FOR MODIFYING HEALTH-RELEVANT BEHAVIOR: REDUCING UNDERGRADUATE BINGE DRINKING BY APPEALING TO COMMITMENT AND RECIPROCITY by AMY E. CONNER B.A., Augustana College, 1997 M.S., University of Oklahoma, 1999 A DISSERTATION Submitted in partial fulfillment of the requirements for the degree DOCTOR OF PHILOSOPHY Department of Psychology College of Arts and Sciences KANSAS STATE UNIVERSITY Manhattan, Kansas 2005",commitment-consistency;ditf,2,include,"K-State Research Exchange 2005 dissertation/article on FITD + DITF × commitment/consistency × reciprocity for reducing binge drinking; eligible (dissertation per §4.8, FITD/DITF mechanisms).",llm-claude-opus-4-7
openalex:W1555909818,,2007,Applying Persuasion Principles Did Not Increase Questionnaire Response: A Randomised Controlled Trial of a Fridge Magnet Gift,"Helen D. Bailey, Laila Robertson, Nadine Henley, Bruce K. Armstrong, John Attia, Elizabeth Milne",UWA Profiles and Research Repository (University of Western Australia),Maximising response is an important issue in epidemiological research. Reciprocation and commitment/consistency are psychological persuasion principles that have been used in many contexts to increase compliance with requests. We attempted to apply both these principles to increase compliance with a survey request by sending a fridge magnet reminder. The aim of this study was to determine whether the magnet improved response.,commitment-consistency,1,include,"2007 RCT on reciprocity + commitment-consistency fridge-magnet gift × questionnaire response; eligible (RCT, two mechanisms, response compliance).",llm-claude-opus-4-7
openalex:W2120779670,10.1007/s12144-010-9082-x,2010,Mindlessness Revisited: Sequential Request Techniques Foster Compliance by Draining Self-control Resources,"Bob M. Fennis, Loes Janssen",Current Psychology,"The present research extends previous findings suggesting that sequential request techniques, such as the Foot-in-the-Door (FITD) or Door-in-the-Face (DITF) technique, are primarily effective under conditions conducive of mindlessness. We forward that this mindlessness may be the product of the influence technique itself. More specifically, based on the notion of self-control as a limited resource, we hypothesize that actively responding to the initial request-phase of a FITD-compliance gaining procedure drains the target of his/her self-regulatory resources, thus creating the mindlessness so often observed in social influence settings. This resource depletion opens the door for compliance with the target request. The results were in line with these expectations. More specifically, we observed that active responding to an initial request of a FITD technique reduced the availability of self-regulatory resources. This state of resource depletion mediated the effect of the technique on behavioral compliance. In addition, the results of this study ruled out the alternate explanation that the effects were attributable to mood or a general tendency for acquiescence.",commitment-consistency;ditf;fitd,4,include,"Current Psychology 2010 experiments testing whether sequential-request techniques work via self-control depletion; eligible (experimental, FITD/DITF, compliance outcome).",llm-claude-opus-4-7
openalex:W2003610581,10.1080/13527266.2011.551833,2011,Interdependent self-construal in collectivist cultures: Effects on compliance in a cause-related marketing context,"Rajiv Vaidyanathan, Praveen Aggarwal, Wojciech Kozłowski",Journal of Marketing Communications,"Abstract This study is a replication and extension of prior work on the effectiveness of cause-related marketing efforts. We show that compliance behavior across cultures can be different depending on the dominant self-construal paradigm prevalent in a given society. The original study had shown that people in independent self-construal societies (individualist countries such as the USA) are unwilling to follow up on their original commitment (to support rainforest protection) if compliance involves bearing the cost of such action (paying a higher price for a product where part of the price is donated to rainforest protection). This study, drawing on a sample of students at a mid-sized university in northern Poland, shows that commitment–consistency works in collectivist, interdependent self-construal societies in a different way: if the cause being supported is of a pro-social nature, people in such societies are willing to pay the higher product price to support it. Keywords: cross-cultural marketingcause-related marketingcompliancecommitment–consistencyinterdependent self-construal Acknowledgments The authors would like to sincerely thank Dr Jean Jacobsen for her assistance in editing this manuscript. The authors are also grateful to the UMD Chancellor's Small Grant program for its support of this research.",commitment-consistency,1,include,"J Marketing Communications 2011 replication+extension on cause-related marketing compliance × self-construal across cultures; eligible (replication study, commercial context).",llm-claude-opus-4-7
openalex:W2066286850,10.1509/jm.11.0423,2013,Growing Existing Customers’ Revenue Streams through Customer Referral Programs,"Ina Garnefeld, Andreas Eggert, Sabrina Helm, Stephen S. Tax",Journal of Marketing,"Customer referral programs are an effective means of customer acquisition. By assessing a large-scale customer data set from a global cellular telecommunications provider, the authors show that participation in a referral program also increases existing customers’ loyalty. In a field experiment, recommenders’ defection rates fell from 19% to 7% within a year, and their average monthly revenue grew by 11.4% compared with a matched control group. A negative interaction between referral program participation and customer tenure reveals that the loyalty effect of voicing a recommendation is particularly pronounced for newer customer–firm relationships. A laboratory experiment further demonstrates that referral programs with larger rewards strengthen attitudinal and behavioral loyalty, whereas smaller rewards affect only the behavioral dimension. This article contributes to our theoretical understanding of the roles played by the commitment–consistency principle and positive reinforcement theory as mechanisms underlying the effectiveness of customer referral programs.",commitment-consistency,1,include,"Journal of Marketing 2013 field experiment on customer referral programs × revenue/loyalty (defection rate 19%→7%); eligible (field experiment in commercial marketing setting, commercial outcomes).",llm-claude-opus-4-7
openalex:W2170851528,10.2224/sbp.2013.41.2.199,2013,Repeating “Yes” in a First Request and Compliance with a Later Request: the Four Walls Technique,"Nicolas Guéguen, Robert‐Vincent Joule, Didier Courbet, Séverine Halimi‐Falkowicz, Andm Ariem Archand",Social Behavior and Personality An International Journal,"The commitment/consistency principle for compliance implies that people act in ways consistent with their previous behavior. Cialdini and Sagarin (2005) have stated that, according to this principle, asking individuals questions to which they would be expected to say “yes” could be associated with achieving greater compliance with a subsequent request. However, this procedure, referred to as the four walls technique, has never been tested experimentally. In this study, we conducted an experiment in which participants were first asked to answer several questions that required “yes” or “no” responses. Then, the participants were asked to comply with an additional request. It was found that saying “yes” several times beforehand is associated with greater compliance with a subsequent request than is saying “no” beforehand or when no first request was made.",commitment-consistency,1,include,Social Behavior and Personality 2013 experiment on four-walls technique (commitment-consistency by repeated 'yes'); eligible.,llm-claude-opus-4-7
