id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
openalex:W1971601808,10.1016/s1057-7408(07)70017-7,2007,Construal Level Theory and Consumer Behavior,"Nira Liberman, Yaacov Trope, Cheryl Wakslak",Journal of Consumer Psychology,"The three commentaries on our paper “Construal Levels and Psychological Distance: Effects on Representation, Prediction, Evaluation, and Behavior” offer insightful theoretical extensions and practical applications of construal level theory (CLT). We were inspired and challenged by the commentaries to elaborate on a number of issues, although our elaboration more often raises questions and speculations than provides definite answers. Owing to space limitations, however, we could discuss only some of the issues raised in the commentaries. The first set of issues concerns our theoretical framework, namely, similarities and differences among distance dimensions, the question of additional distances, the nature of the interaction among distances, and the relationship between psychological distance and construct of stimulus information sampling. The second set of issues concerns applications of CLT to consumer choice, namely, how to make better decisions, the nature of regret, and how people construct and process choice sets.",concrete-construal,1,include,J Consumer Psych 2007 elaboration of CLT for consumer behavior; eligible (theoretical-empirical synthesis applied to consumer decisions).,llm-claude-opus-4-7
openalex:W2007576031,10.1016/s1057-7408(07)70013-x,2007,"Construal Levels and Psychological Distance: Effects on Representation, Prediction, Evaluation, and Behavior","Yaacov Trope, Nira Liberman, Cheryl Wakslak",Journal of Consumer Psychology,"Construal level theory (CLT) is an account of how psychological distance influences individuals' thoughts and behavior. CLT assumes that people mentally construe objects that are psychologically near in terms of low-level, detailed, and contextualized features, whereas at a distance they construe the same objects or events in terms of high-level, abstract, and stable characteristics. Research has shown that different dimensions of psychological distance (time, space, social distance, and hypotheticality) affect mental construal and that these construals, in turn, guide prediction, evaluation, and behavior. The present paper reviews this research and its implications for consumer psychology.",concrete-construal,1,include,J Consumer Psych 2007 Trope & Liberman CLT review with consumer-behavior application; eligible (synthesis of empirical construal literature with consumer-decision applications).,llm-claude-opus-4-7
openalex:W1983312969,10.1086/592131,2008,Effects of Temporal and Social Distance on Consumer Evaluations: Table 1,"Kyeongheui Kim, Zhang Meng, Xiuping Li",Journal of Consumer Research,"This article investigates how two dimensions of psychological distance (i.e., temporal distance and social distance) jointly affect consumers' evaluations of products. Drawing on the properties of psychological distance and diminishing sensitivity to the increase in distance, we show an interaction effect of the two distance dimensions on product evaluations in two experiments. Specifically, when both dimensions are proximal, consumer evaluations are more influenced by the value associated with low-level construals than when either or both dimensions are distal, where consumer evaluations are more influenced by the value associated with high-level construals. (c) 2008 by JOURNAL OF CONSUMER RESEARCH, Inc..",concrete-construal,1,include,J Consumer Research 2008 two experiments on temporal × social distance for consumer product evaluations; eligible.,llm-claude-opus-4-7
openalex:W2035960644,10.1037/a0017879,2010,"Now you see it, now you don't: Interests, issues, and psychological distance in integrative negotiation.","Mauro Giacomantonio, Carsten K. W. De Dreu, Lucia Mannetti",Journal of Personality and Social Psychology,"Negotiators are often advised to seek win-win agreements by focusing on interests (primary features) rather than issues (secondary features), but whether such advice is valid remains to be seen. Consistent with construal level theory (Y. Trope & N. Liberman, 2003), Experiments 1 and 2 show that negotiators focus on secondary features (issues) more than on primary features (interests) when psychological distance is low rather than high, and concomitant construal level is local and specific rather than global and abstract. Experiment 3 showed that high construal level promoted problem-solving behavior and therefore facilitated the achievement of win-win agreement, but only when integrative potential resided in underlying interests; when integrative potential resided in the issues, low construal level negotiators achieved higher joint outcomes. Thus, both low- and high-construal negotiators may achieve win-win agreements when such agreements require trade-offs at the level of issues, or at the level of underlying interests, respectively.",concrete-construal,1,include,"JPSP 2010 experiments on psychological distance × negotiation interests-vs-issues focus; eligible (experimental, construal, negotiation outcome).",llm-claude-opus-4-7
openalex:W2146450727,10.1016/j.jesp.2010.05.001,2010,Psychological distance boosts value-behavior correspondence in ultimatum bargaining and integrative negotiation,"Mauro Giacomantonio, Carsten K. W. De Dreu, Shaul Shalvi, Daniel Sligte, Susanne Leder",Journal of Experimental Social Psychology,,concrete-construal,1,include,"JESP 2010 on psychological distance × value-behavior correspondence in ultimatum bargaining and integrative negotiation; eligible (experimental, negotiation outcome).",llm-claude-opus-4-7
openalex:W2144479840,10.1086/659874,2011,Psychological Distance and the Dual Role of Price,"Torsten Bornemann, Christian Homburg",Journal of Consumer Research,"Abstract When evaluating a product, consumers may interpret price information as either an indicator of quality or an indicator of monetary sacrifice. On the basis of construal level theory, we propose that psychological distance alters the weight consumers attach to these opposing roles of price. Four experiments show (1) that from both a temporally and a socially distant perspective, the price–perceived quality relationship is more pronounced; (2) that from a temporally proximal perspective, the price–perceived sacrifice relationship is more pronounced; (3) that these effects stem from differences in the way consumers mentally construe price information; and (4) that when people initially use price to judge a product for distant future consumption, it receives less attention as an indicator of sacrifice in a later evaluation for near future consumption. These findings have implications for prelaunch communication activities and preference elicitation methods such as conjoint analysis.",concrete-construal,1,include,"J Consumer Research 2011 four experiments on psychological distance × price interpretation; eligible (experimental, construal, consumer-decision outcome including price).",llm-claude-opus-4-7
openalex:W3124122148,10.1086/665047,2012,Choosing Here and Now versus There and Later: The Moderating Role of Psychological Distance on Assortment Size Preferences,"Joseph K. Goodman, Selin A. Malkoc",Journal of Consumer Research,"Abstract Consumers prefer larger assortments, despite the negative consequences associated with choosing from these sets. This article examines the role of psychological distance (temporal and geographical) in consumers’ assortment size decisions and rectifies contradicting hypotheses produced by construal level theory. Six studies demonstrate that while consumers prefer larger assortments when the choice takes place in the here and now, they are more likely to prefer small assortments when choices pertain to distant locations and times. This decrease in preference for large assortments is due to psychological distance increasing the similarity of the options in a category, making them appear more substitutable. This effect of psychological distance reverses when consumers consider desirability/feasibility trade-off information inherent in the assortment size decision. These findings point to important outcomes of psychological distance, resolving opposing predictions of construal level theory, and identify boundary conditions for the well-established notion that consumers are attracted to large assortments.",concrete-construal,1,include,"J Consumer Research 2012 six studies on psychological distance × assortment size preferences; eligible (experimental, construal, consumer-choice outcome).",llm-claude-opus-4-7
openalex:W2091277221,10.1086/674212,2013,The Distinct Affective Consequences of Psychological Distance and Construal Level,"Lawrence E. Williams, Randy Stein, Laura Galguera",Journal of Consumer Research,"Much of the existing literature on psychological distance has focused on cognitive outcomes, such as changes in construal level, largely framing affective processes out of the discussion. The current research examines the distinct influences of psychological distance and construal level on affect-based evaluation. In a first set of experiments, psychological distance (vs. closeness) reduces the intensity of felt affect, while abstract (vs. concrete) thinking increases the positivity of one's thoughts. In a second set of experiments, psychological distance improves evaluations of negative experiences by reducing the intensity of negative affect but hurts evaluations of positive experiences by reducing the intensity of positive affect. By contrast, abstract thinking increases positivity, improving evaluations for both positive and negative experiences alike. These findings have implications for marketing communication strategy and existing theories of psychological distance.",concrete-construal,1,include,"J Consumer Research 2013 experiments on psychological distance × construal level on affect-based evaluation; eligible (experimental, construal manipulation, consumer-evaluation outcome).",llm-claude-opus-4-7
openalex:W2111233167,10.1037/bul0000005,2014,The effects of psychological distance on abstraction: Two meta-analyses.,"Courtney K. Soderberg, Shannon Callahan, Annie O. Kochersberger, Elinor Amit, Alison Ledgerwood",Psychological Bulletin,"Psychological distance and abstraction both represent key variables of considerable interest to researchers across cognitive, social, and developmental psychology. Moreover, largely inspired by construal level theory, numerous experiments across multiple fields have now connected these 2 constructs, examining how psychological distance affects the level of abstraction at which people mentally represent the world around them. The time is clearly ripe for a quantitative synthesis to shed light on the relation between these constructs and investigate potential moderators. To this end, we conducted 2 meta-analyses of research examining the effects of psychological distance on abstraction and its downstream consequences. Across 106 papers containing a total of 267 experiments, our results showed a reliable and medium-sized effect of psychological distance on both level of abstraction in mental representation and the downstream consequences of abstraction. Importantly, these effects replicate across time, researchers, and settings. Our analyses also identified several key moderators, including the size of the difference in distance between 2 levels of a temporal distance manipulation and the dependent variable's capacity to tap processing of both abstract and concrete features (rather than only one or the other). We discuss theoretical and methodological implications, and highlight promising avenues for future research.",concrete-construal,1,include,Psychological Bulletin 2014 two meta-analyses on psychological distance × abstraction; eligible (meta-analysis of construal-level primary literature).,llm-claude-opus-4-7
openalex:W2345138829,10.1016/j.jcps.2016.03.001,2016,Effects of multiple psychological distances on construal and consumer evaluation: A field study of online reviews,"Ni Huang, Gordon Burtch, Yili Hong, Evan Polman",Journal of Consumer Psychology,"Abstract Through a large‐scale field study of 166,215 online restaurant reviews, we found evidence of a distance boosting effect, whereby experiencing spatial distance (i.e., authoring a review about a geographically distant restaurant, rather than proximate one) and temporal distance (i.e., authoring a review after a lengthy delay, rather than immediately) jointly affect review positivity by amplifying consumers' high‐level construals. Although past research has explored the relationship between psychological distance, construal and consumer evaluation, the effects of various dimensions of distance have only been considered in isolation. Our research contributes to past work by testing the effects of experiencing two dimensions of psychological distance simultaneously on construal and consumer evaluations. Moreover, because our data contain naturalistic observations, our research includes a wide range of temporal and spatial distances. We found that the effect of one distance increases the effect of the other. Metaphorically speaking, the effect of one distance is boosted by another.",concrete-construal,1,include,"J Consumer Psych 2016 field study N=166,215 online reviews × psychological distance; eligible (experimental, construal, consumer-evaluation outcome).",llm-claude-opus-4-7
