id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
openalex:W1995403491,10.1037//0022-3514.32.5.774,1975,Effects of initial request size and timing of a second request on compliance: The foot in the door and the door in the face.,"Arnie Cann, Steven J. Sherman, Roy Elkes",Journal of Personality and Social Psychology,"A field experiment tested four separate procedures for influencing compliance to the second of two requests. Two factors--size of initial request and timing of the second request--were included in a 2 X 2 factorial design. Subjects were induced either to comply with a small initial request or to refuse a large initial request. They then received a moderate request either immediately (no delay) or 7--10 days later (delay). Compliance to the second request was the dependent measure. The results in the two delay conditions and the small-request--no delay condition supported a self-perception position in that the induction of one kind of behavior (compliance or noncompliance) carried over to affect subsequent behavior similarly. The large-request--no dealy condition supported a bargaining explanation, as initial refusal to comply led to an increase in subsequent compliance. Possible processes that could account for these results are discussed.",ditf;fitd,3,include,"Cialdini et al. 1975: 2x2 field experiment crossing FITD/DITF × delay; self-perception test; JPSP. Eligible per §2 (compliance outcome, randomized, experimental manipulation).",llm-claude-opus-4-7
openalex:W2136650861,10.1037/h0076284,1975,Reciprocal concessions procedure for inducing compliance: The door-in-the-face technique.,"Robert B. Cialdini, Joyce E. Vincent, Stephen K. Lewis, José Catalán, Diane Wheeler, Betty L. Darby",Journal of Personality and Social Psychology,"Three experiments were conducted to test the effectiveness of a rejection-thenmoderation procedure for inducing compliance with a request for a favor. All three experiments included a condition in which a requester first asked for an extreme favor (which was refused to him) and then for a smaller favor. In each instance, this procedure produced more compliance with the smaller favor than a procedure in which the requester asked solely for the smaller favor. Additional control conditions in each experiment supported the hypothesis that the effect is mediated by a rule for reciprocation of concessions. Several advantages to the use of the rejection-then-moderation procedure for producing compliance are discussed. The foot-in-the-door technique has been investigated by Freedman and Eraser (1966) as a procedure for inducing compliance with a request for a favor. They demonstrated that obtaining a person's compliance with a small request substantially increases the likelihood of that person's compliance with a subsequent, larger request. Freedman and Fraser suggest that the mediator of the foot-in-thedoor effect is a shift in the self-perception of the benefactor. After performing or agreeing to perform an initial favor, a person become, in his own eyes, the kind of person who does this sort of thing, who agrees to requests made by strangers, who takes action on things he believes in, who cooperates with good causes. . . . The basic idea is that the change in attitude need not be toward any particular person or activity, but may be toward activity or compliance in general. Thus, one effective way to obtain a favor is to begin by making a minimal first request which is sure to produce compliance and then to advance to a larger favor (the one which was desired from the outset). It may well be, however, that an equally effective method for getting a favor done involves the exact opposite procedure. What would be the result of making an extreme first request which is sure",ditf;fitd,2,include,JPSP 1975 Cialdini et al. — three experiments on DITF reciprocal-concessions explanation; eligible (seminal DITF).,llm-claude-opus-4-7
openalex:W4253164165,10.1037/0022-3514.32.5.774,1975,Effects of initial request size and timing of a second request on compliance: The foot in the door and the door in the face.,"Arnie Cann, Steven J. Sherman, Roy Elkes",Journal of Personality and Social Psychology,,ditf;fitd,2,include,JPSP 1975 second indexed copy of Cialdini-tradition FITD/DITF 2x2 timing study (deduplicate flag — same as i=0).,llm-claude-opus-4-7
doi:10.2466/pr0.1977.41.3.924,10.2466/pr0.1977.41.3.924,1977,Inducing Compliance via Door-in-the-Face and Legitimization of Paltry Contributions,Peter H. Reingen,Psychological Reports,,ditf,2,include,Psychological Reports 1977 study on DITF + legitimization of paltry contributions; eligible.,llm-claude-opus-4-7
openalex:W2047104568,10.1002/ejsp.2420080113,1978,The door in the face technique: Effects of the size of the initial request,"Moshe Even‐Chen, Yoel Yinon, Aharon Bizman",European Journal of Social Psychology,,ditf,1,include,EJSP 1978 on DITF effects of initial request size; eligible.,llm-claude-opus-4-7
openalex:W1975529009,10.1111/j.1559-1816.1979.tb00817.x,1979,The Applicability of the Door‐in‐the Face Technique when Established Behavioral Customs Exist,"Jospeh Schwarzwald, Moshe Raz, Moshe Zvibel",Journal of Applied Social Psychology,"The applicability of the door‐in‐the‐face technique was tested in a monetary donation context where established behavioral standards exist, and where the target person has standards by which to judge the legitimacy of the solicitor's demand. Based on the proposition that exaggerated initial requests might discredit the solicitor and thereby halt the give‐and‐take process, it was expected that (a) with legitimate initial requests, the probability of compliance with a request would be greater when preceded by a larger request than if presented alone; and that (b) with illegitimate initial requests, the probability of compliance with a second request would be smaller when preceded by a larger request than if presented alone. On the national collection day for the Association for the Rehabilitation of the Mentally Handicapped, 400 subjects were asked to contribute IL 10, 15, or 20. In the experimental groups, these amounts were preceded with requests for larger sums which were judged previously by a pretest to be considered legitimate or illegitimate. In the control groups, subjects were asked to contribute the same amounts, but no larger amounts were first requested. The replicability of the door‐in‐the‐face technique has been proven with requests for which established customs exist. However, the technique was only effective with legitimate initial requests. With initial requests that were previously judged as unreasonable, the technique had a “boomerang effect” and suppressed compliance.",ditf,1,include,J Applied Soc Psych 1979 study on DITF in monetary-donation context with established behavioral standards; eligible.,llm-claude-opus-4-7
openalex:W2133367185,10.1177/014616727900500117,1979,Self-Presentation and the Door-in-the-Face Technique for Inducing Compliance,"Mark G. Pendleton, C. Daniel Batson",Personality and Social Psychology Bulletin,"Cialdini has proposed a reciprocal concessions explanation of the door-in-the-face technique for inducing compliance. We wish to propose an alternative explanation, that this technique increases compliance because it induces concern about self-presentation. A field experiment was designed to determine whether the manipulations used in previous door-in-the-face studies led to assumptions of a negative self-presentation. Fifty male university students were presented with either a moderately large request for help (similar to those used in the door-in-the-face studies) or an extremely large request. After refusing the request subjects were asked to complete a questionnaire. Responses to this questionnaire indicated that subjects believed an observer of their refusal would rate them as significantly less helpful, less friendly, and less concerned after they refused the moderately large as opposed to the extremely large request. These results were predicted by our selfpresentation explanation of the door-in-the-face technique.",ditf,1,include,PSPB 1979 field experiment N=50 testing self-presentation explanation of DITF; eligible.,llm-claude-opus-4-7
openalex:W2321762935,10.1177/002224377901600417,1979,More Evidence on Interpersonal Yielding,"Peter H. Reingen, Jerome B. Kernan",Journal of Marketing Research,"The relative effectiveness of the foot-in-the-door and door-in-the-face techniques in inducing subjects to comply with a commercial request for information was assessed in a field experiment. Although foot-in-the-door was found to be more effective than door-in-the-face, contrary to expectations the behavioral compliance rate was not significantly different from control outcomes. The implications of these findings are discussed.",ditf;fitd,2,include,"JMR 1979 'More Evidence on Interpersonal Yielding' — field experiment comparing FITD vs DITF in commercial-request setting; eligible (field experiment, commercial context, compliance outcome).",llm-claude-opus-4-7
openalex:W2031987323,10.1177/014616728063006,1980,Faculty Helpfulness to Students,"Herbert Harari, Deborah Mohr, Karen Hosey",Personality and Social Psychology Bulletin,"A total of 154 randomly chosen faculty members at a large public university served as subjects in a study of compliance by professors to students' request for help. The door-in-the-face technique (large initial request, followed by a moderate request) elicited significantly more compliance than the foot-in-the-door technique (small initial request, followed by a moderate request) and the control technique (moderate request only). The foot-in-the-door technique was significantly less effective than the control technique. The results were viewed conceptually and pragmatically.",ditf,1,include,"PSPB 1980 N=154 faculty-to-students FITD/DITF/control compliance experiment; eligible (experimental, FITD/DITF, compliance outcome).",llm-claude-opus-4-7
openalex:W2093499358,10.3758/bf03334470,1980,The effects of delay upon compliance with socially undesirable requests in the door-in-the-face paradigm,"Mitri E. Shanab, Steven Isonio",Bulletin of the Psychonomic Society,,ditf,1,include,Bulletin Psychonomic Society 1980 on delay × DITF for socially undesirable requests; eligible.,llm-claude-opus-4-7
