id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
openalex:W2022965677,10.1016/0022-1031(83)90022-7,1983,"The freezing and unfreezing of lay-inferences: Effects on impressional primacy, ethnic stereotyping, and numerical anchoring","Arie W. Kruglanski, Tallie Freund",Journal of Experimental Social Psychology,,extreme-anchor,1,include,"JESP 1983 on lay-inference freezing × impressional primacy × anchoring; eligible (experimental, anchoring, judgment outcome).",llm-claude-opus-4-7
openalex:W2021235660,10.1086/209045,1986,An Anchoring and Adjustment Model of Spousal Predictions,"Harry L. Davis, Stephen J. Hoch, E. K. Easton Ragsdale",Journal of Consumer Research,"How do we predict the preferences of other people? This article proposes an anchoring and adjustment process where we anchor on our own preferences and attempt to adjust for ways in which we are likely to differ from others. In five experiments, 220 husbands and wives predicted the preferences of their spouses for 20 new product concepts. Both husbands and wives anchored heavily on their own preferences. Moreover, they consistently adjusted for beliefs about the relative influence that their spouses would wield on the purchase decision for each of the concepts. On average, people were not very accurate in predicting spousal preferences. Almost half of the people would have been more accurate by simply reporting their own preferences. Most of the subjects had difficulty isolating systematic adjustment factors that were more diagnostic of spousal preferences than their own preferences.",extreme-anchor,1,include,"J Consumer Research 1986 five experiments on anchoring-and-adjustment in spousal product-preference predictions; eligible (experimental, anchoring mechanism, consumer-decision context).",llm-claude-opus-4-7
openalex:W2010527565,10.1016/0749-5978(87)90046-x,1987,"Experts, amateurs, and real estate: An anchoring-and-adjustment perspective on property pricing decisions","Gregory B. Northcraft, Margaret A. Neale",Organizational Behavior and Human Decision Processes,,extreme-anchor,1,include,"OBHDP 1987 on real-estate experts/amateurs × anchoring in property pricing; eligible (experimental, anchoring, commercial-pricing outcome).",llm-claude-opus-4-7
openalex:W2082531419,10.1016/0749-5978(92)90015-y,1992,"Reference points, anchors, norms, and mixed feelings",Daniel Kahneman,Organizational Behavior and Human Decision Processes,,extreme-anchor,1,include,OBHDP 1992 on reference points × anchors × norms in judgment; eligible.,llm-claude-opus-4-7
openalex:W2028280385,10.1002/bdm.3960070402,1994,The limits of anchoring,"Gretchen B. Chapman, Eric J. Johnson",Journal of Behavioral Decision Making,"Abstract Anchoring and adjustment is a pervasive bias in which decision makers are influenced by random or uninformative numbers or starting points. As a means of understanding this effect, we explore two limits on anchoring. In Experiments 1 and 2, implausibly extreme anchors had a proportionally smaller effect than anchors close to the expected value of the lotteries evaluated. In Experiments 2 and 3, anchoring occurred only if the anchor and preference judgment were expressed on the same scale. Incompatible anchors and response modes resulted in no anchoring bias. A confirmatory search mechanism is proposed to account for these results.",extreme-anchor,1,include,"J Behav Decision Making 1994 three experiments on anchoring limits with implausibly extreme anchors; eligible (experimental, anchoring mechanism).",llm-claude-opus-4-7
openalex:W2147091291,10.1177/01461672952111004,1995,Measures of Anchoring in Estimation Tasks,"Karen E. Jacowitz, Daniel Kahneman",Personality and Social Psychology Bulletin,"The authors describe a method for the quantitative study of anchoring effects in estimation tasks. A calibration group provides estimates of a set of uncertain quantities. Subjects in the anchored condition first judge whether a specified number (the anchor) is higher or lower than the true value before estimating each quantity. The anchors are set at predetermined percentiles of the distribution of estimates in the calibration group (15th and 85th percentiles in this study). This procedure permits the transformation of anchored estimates into percentiles in the calibration group, allows pooling of results across problems, and provides a natural measure of the size of the effect. The authors illustrate the method by a demonstration that the initial judgment of the anchor is susceptible to an anchoring-like bias and by an analysis of the relation between anchoring and subjective confidence.",extreme-anchor,1,include,PSPB 1995 methodological paper on quantitative anchoring measurement; eligible (anchoring methodology for empirical studies).,llm-claude-opus-4-7
openalex:W2053061618,10.1037//0096-3445.125.4.387,1996,A new look at anchoring effects: Basic anchoring and its antecedents.,"Timothy D. Wilson, Christopher E. Houston, Kathryn M. Etling, Nancy Brekke",Journal of Experimental Psychology General,"In previous anchoring studies people were asked to consider an anchor as a possible answer to the target question or were given informative anchors. The authors predicted that basic anchoring effects can occur, whereby uninformative numerical anchors influence a judgment even when people are not asked to compare this number to the target value. Five studies supported these hypotheses: Basic anchoring occurs if people pay sufficient attention to the anchor value; knowledgeable people are less susceptible to basic anchoring effects; anchoring appears to operate unintentionally and nonconsciously in that it is difficult to avoid even when people are forewarned. The possible mechanisms of basic anchoring and the relation between these mechanisms and other processes of judgment and correction are discussed.",extreme-anchor,1,include,JEP General 1996 five studies on basic anchoring without explicit comparison; eligible (seminal anchoring mechanism paper).,llm-claude-opus-4-7
openalex:W4242847335,10.1037/0096-3445.125.4.387,1996,A new look at anchoring effects: Basic anchoring and its antecedents.,"Timothy D. Wilson, Christopher E. Houston, Kathryn M. Etling, Nancy Brekke",Journal of Experimental Psychology General,,extreme-anchor,1,include,JEP General 1996 — duplicate of i=542; flag at dedup-extraction.,llm-claude-opus-4-7
openalex:W2047038396,10.1006/obhd.1997.2734,1997,Positive Affect Facilitates Integration of Information and Decreases Anchoring in Reasoning among Physicians,"Carlos A. Estrada, Alice M. Isen, Mark Young",Organizational Behavior and Human Decision Processes,,extreme-anchor,1,include,"OBHDP 1997 on positive affect × anchoring in physician reasoning; eligible (experimental, anchoring, professional-judgment outcome).",llm-claude-opus-4-7
openalex:W2168575967,10.1037/0022-3514.73.3.437,1997,Explaining the enigmatic anchoring effect: Mechanisms of selective accessibility.,"Fritz Strack, Thomas Mussweiler",Journal of Personality and Social Psychology,"Results of 3 studies support the notion that anchoring is a special case of semantic priming; specifically, information that is activated to solve a comparative anchoring task will subsequently be more accessible when participants make absolute judgments. By using the logic of priming research, in Study 1 the authors showed that the strength of the anchor effect depends on the applicability of activated information. Study 2 revealed a contrast effect when the activated information was not representative for the absolute judgment and the targets of the 2 judgment tasks were sufficiently different. Study 3 demonstrated that generating absolute judgments requires more time when comparative judgments include an implausible anchor and can therefore be made without relevant target information that would otherwise be accessible.",extreme-anchor,1,include,JPSP 1997 three studies on selective-accessibility mechanism of anchoring; eligible (seminal anchoring mechanism paper).,llm-claude-opus-4-7
