id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
doi:10.2139/ssrn.6152327,10.2139/ssrn.6152327,,A Foot in the Door: Seller Preferences for Surcharges,"Timo Heinrich, Ernan Haruvy, Matthew Walker",,"This paper studies holdups in markets where sellers may impose undisclosed surcharges. While prior work has examined price transparency's role in market outcomes, the distinct effect of a transparency norm-separate from a fairness norm-remains unestablished. We formulate a simple model that separates these norms and characterizes their equilibrium implications across different market settings. The model shows that price competition yields higher buyer surplus than ultimatum bargaining and that this surplus increases with transparency concerns but decreases with fairness concerns because of softened competition. Compulsory surcharges cannot be higher in bargaining, as sellers prefer a higher price to a higher surcharge as long as it does not change the buyer's probability of acceptance. Experimental results confirm the transparency norm's influence: Total prices are lower with price competition, and surcharges are lower with ultimatum bargaining. Additionally, surcharges rise when pricing is outside of the seller's control. Estimates of the behavioral parameters reveal that sellers weigh transparency at least as heavily as fairness. The results imply that firms fearing holdups should still procure goods and services in competitive market structures.",fitd,1,include,"SSRN study on FITD seller preferences for surcharges; eligible (commercial pricing context, FITD, surcharge outcome).",llm-claude-opus-4-7
openalex:W2162380352,10.1037/h0023552,1966,Compliance without pressure: The foot-in-the-door technique.,"Jonathan L. Freedman, Scott C. Fraser",Journal of Personality and Social Psychology,"2 experiments were conducted to test the proposition that once someone has agreed to a small request he is more likely to comply with a larger request. The 1st study demonstrated this effect when the same person made both requests. The 2nd study extended this to the situation in which different people made the 2 requests. Several experimental groups were run in an effort to explain these results, and possible explanations arc discussed. How can a person be induced to do something he would rather not do? This question is relevant to practically every phase of social life, from stopping at a traffic light to stopping smoking, from buying Brand X to buying savings bonds, from supporting the March of Dimes to supporting the Civil Rights Act. One common way of attacking the problem is to exert as much pressure as possible on the reluctant individual in an effort to force him to comply. This technique has been the focus of a considerable amount of experimental research. Work on attitude change, conformity, imitation, and obedience has all tended to stress the importance of the degree of external pressure. The prestige of the communicator (Kelman & Hovland, 1953), degree of discrepancy of the communication (Hovland & Pritzker, 19S7), size of the group disagreeing with the subject (Asch, 1951), perceived power of the model (Bandura, Ross, & Ross, 1963), etc., are the kinds of variables that have been studied. This impressive body of work, added to the research on rewards and punishments in learning, has produced convincing evidence that greater external pressure generally leads to greater compliance with the wishes of the experimenter. The one exception appears to be situations involving the arousal of cognitive dissonance in which, once discrepant behavior has been elicited from the subject, the greater",fitd,2,include,JPSP 1966 Freedman & Fraser — original FITD demonstration with two experiments; eligible (seminal FITD).,llm-claude-opus-4-7
openalex:W2045171895,10.2466/pr0.1974.34.1.35,1974,Does a “Foot-in-the-Door” Get You in or out?,"Barry Fish, Kalman J. Kaplan",Psychological Reports,"Past research indicates that compliance with a small, relatively innocuous “foot-in-the-door” request serves to increase, relative to a control group, subsequent compliance with a larger request directed toward the same goal. The present study suggests such commitment (increasing) effects may be limited to active “feet-in-the-door,” predicting substitution (decreasing) effects for passive (less effortful) “foot-in-the-door” compliance. Results ( N = 151) support only the substitution predictions showing none of the commitment effects previously demonstrated in the literature for active “foot-in-the-door” compliance. Attempts to resolve these discrepant findings generate a two-factor model specifying both the degree of initial commitment and the active versus passive nature of the “foot-in-the-door” requests. Specifically, active “foot-in-the-door” compliance and low degrees of initial commitment seem to produce commitment effects; passive compliance and high initial commitment tend toward substitution effects. While alternative explanations may be advanced to explain specific segments of the results, none seems satisfactorily to explain the entire pattern.",fitd,1,include,Psychological Reports 1974 on FITD substitution vs commitment effects; eligible.,llm-claude-opus-4-7
openalex:W2063446964,10.1016/0022-1031(74)90053-5,1974,Compliance without pressure: Some further data on the foot-in-the-door technique,"Patricia Pliner, Heather Hart, Joanne Kohl, Dory Saari",Journal of Experimental Social Psychology,,fitd,1,include,JESP 1974 follow-up data on FITD by Freedman/Fraser tradition; eligible (FITD compliance experiment).,llm-claude-opus-4-7
openalex:W1995403491,10.1037//0022-3514.32.5.774,1975,Effects of initial request size and timing of a second request on compliance: The foot in the door and the door in the face.,"Arnie Cann, Steven J. Sherman, Roy Elkes",Journal of Personality and Social Psychology,"A field experiment tested four separate procedures for influencing compliance to the second of two requests. Two factors--size of initial request and timing of the second request--were included in a 2 X 2 factorial design. Subjects were induced either to comply with a small initial request or to refuse a large initial request. They then received a moderate request either immediately (no delay) or 7--10 days later (delay). Compliance to the second request was the dependent measure. The results in the two delay conditions and the small-request--no delay condition supported a self-perception position in that the induction of one kind of behavior (compliance or noncompliance) carried over to affect subsequent behavior similarly. The large-request--no dealy condition supported a bargaining explanation, as initial refusal to comply led to an increase in subsequent compliance. Possible processes that could account for these results are discussed.",ditf;fitd,3,include,"Cialdini et al. 1975: 2x2 field experiment crossing FITD/DITF × delay; self-perception test; JPSP. Eligible per §2 (compliance outcome, randomized, experimental manipulation).",llm-claude-opus-4-7
openalex:W1997940955,10.1037/h0076245,1975,"To comply or not comply: Testing the self-perception explanation of the ""foot-in-the-door"" phenomenon.","Mark Snyder, Michael R. Cunningham",Journal of Personality and Social Psychology,"A field experiment was conducted to test the self-perception explanation of the ""foot-in-the-door"" phenomenon of increased compliance with a substantial request after prior compliance with a smaller demand. In this study, some subjects were first approached with a small request (answer 8 questions in a telephone survey) the size of which was virtually certain to guarantee compliance. Other subjects were first approached with a request sufficiently large to guarantee noncompliance (answer 50 questions). Subjects in both of these conditions were subsequently approached with a moderately sized request (30 questions sponsored by a different public service organization). As predicted by self-perception theory, subjects in the small-initial-request condition showed a higher rate of compliance to the second request (.519), whereas subjects in the large-initial-request condition showed a lower rate of compliance (.219) than subjects in the no-initial-request control condition (.333).",fitd,2,include,"JPSP 1975 field experiment testing self-perception explanation of FITD; eligible (experimental, FITD, compliance outcome).",llm-claude-opus-4-7
openalex:W2136650861,10.1037/h0076284,1975,Reciprocal concessions procedure for inducing compliance: The door-in-the-face technique.,"Robert B. Cialdini, Joyce E. Vincent, Stephen K. Lewis, José Catalán, Diane Wheeler, Betty L. Darby",Journal of Personality and Social Psychology,"Three experiments were conducted to test the effectiveness of a rejection-thenmoderation procedure for inducing compliance with a request for a favor. All three experiments included a condition in which a requester first asked for an extreme favor (which was refused to him) and then for a smaller favor. In each instance, this procedure produced more compliance with the smaller favor than a procedure in which the requester asked solely for the smaller favor. Additional control conditions in each experiment supported the hypothesis that the effect is mediated by a rule for reciprocation of concessions. Several advantages to the use of the rejection-then-moderation procedure for producing compliance are discussed. The foot-in-the-door technique has been investigated by Freedman and Eraser (1966) as a procedure for inducing compliance with a request for a favor. They demonstrated that obtaining a person's compliance with a small request substantially increases the likelihood of that person's compliance with a subsequent, larger request. Freedman and Fraser suggest that the mediator of the foot-in-thedoor effect is a shift in the self-perception of the benefactor. After performing or agreeing to perform an initial favor, a person become, in his own eyes, the kind of person who does this sort of thing, who agrees to requests made by strangers, who takes action on things he believes in, who cooperates with good causes. . . . The basic idea is that the change in attitude need not be toward any particular person or activity, but may be toward activity or compliance in general. Thus, one effective way to obtain a favor is to begin by making a minimal first request which is sure to produce compliance and then to advance to a larger favor (the one which was desired from the outset). It may well be, however, that an equally effective method for getting a favor done involves the exact opposite procedure. What would be the result of making an extreme first request which is sure",ditf;fitd,2,include,JPSP 1975 Cialdini et al. — three experiments on DITF reciprocal-concessions explanation; eligible (seminal DITF).,llm-claude-opus-4-7
openalex:W4253164165,10.1037/0022-3514.32.5.774,1975,Effects of initial request size and timing of a second request on compliance: The foot in the door and the door in the face.,"Arnie Cann, Steven J. Sherman, Roy Elkes",Journal of Personality and Social Psychology,,ditf;fitd,2,include,JPSP 1975 second indexed copy of Cialdini-tradition FITD/DITF 2x2 timing study (deduplicate flag — same as i=0).,llm-claude-opus-4-7
openalex:W2039073116,10.1037/0022-3514.33.5.517,1976,Relationship between compliance in the foot-in-the-door paradigm and size of first request.,"Clive Seligman, Malcolm Bush, Kenneth Kirsch",Journal of Personality and Social Psychology,,fitd,1,include,JPSP 1976 study on relationship between FITD compliance and first-request size; eligible (empirical FITD paper in seminal venue).,llm-claude-opus-4-7
openalex:W2006084104,10.1086/208691,1977,Modifying Socially-Conscious Behavior: The Foot-in-the-Door Technique,Carol A. Scott,Journal of Consumer Research,"Journal Article Modifying Socially-Conscious Behavior: The Foot-in-the-Door Technique Get access Carol A. Scott Carol A. Scott Search for other works by this author on: Oxford Academic PubMed Google Scholar Journal of Consumer Research, Volume 4, Issue 3, December 1977, Pages 156–164, https://doi.org/10.1086/208691 Published: 01 December 1977 Article history Received: 01 June 1977 Revision received: 01 September 1977 Published: 01 December 1977",fitd,1,include,"J Consumer Research 1977 Scott — FITD for socially-conscious behavior modification; eligible (experimental, FITD, behavior-change outcome in consumer context).",llm-claude-opus-4-7
