id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
doi:10.2196/preprints.47679,10.2196/preprints.47679,,Effects of Gain-and-Loss framing Human Papillomavirus Vaccine Messages and Issue Involvement on Behavioral and Electrophysiological Measures of Attention and Implicit Attitudes: Event-Related Potential Study (Preprint),"Fang Su, Ya Yang",,"
                    BACKGROUND
                        Human papillomavirus (HPV) is detrimental to genital and cervical health. gain-and-loss framing research has yielded limited findings regarding ways to systematically influence vaccine acceptance (uptake) and acceptability (attitudes and intentions) to promote the HPV vaccine. However, potential moderating variables need to be considered. This study was designed to overcome previous limitations by exploring the role of personal involvement with HPV issues and the gain-and-loss framework in cognitive effects through an electrophysiological study.
                
                                
                    OBJECTIVE
                        The main objectives of this study were (1) to evaluate the effect of gain-and-loss frameworks on HPV immunization messages for college students with different levels of issue involvement on brain and cognitive processes, including attention and implicit attitudes, using behavioral and electrophysiological recordings (event-related potentials, ERPs); (2) to examine the cognitive process and attention allocation on gain-and-loss framing HPV messages and to further test the distinct persuasive routes of the elaboration likelihood model; and (3) to provide empirical evidence of design strategies for HPV immunization messages with regard to implicit social cognition bias about the different frames.
                
                                
                    METHODS
                        In a mixed between-subjects experimental design, 40 participants were recruited into 2 (frames: gain vs. loss) × 2 (involvement: high vs. low issue involvement) groups. During the message exposure, brain activity was measured by electroencephalography as the participants were asked to conduct a 3-tone passive auditory oddball task. The amount of attention allocation was measured by event-related potentials (ERPs) (i.e., P300 amplitude) toward novelty stimuli. To further explore the implicit attitudes of the 4 groups, an implicit association test (IAT) was adopted and measured by D-scores.
                
                                
                    RESULTS
                        For the P300 amplitude, the results showed that loss-framed messages elicited a larger P300 amplitude of novel stimuli than gain-framed ones (F1, 28 = 5.61, P=.03). The D-score results indicated that the IAT D-score of the gain-framed messages was also significantly higher than that of loss frames (F1, 36 =6.10, P =.02). Under the condition of the high-issue involvement group, the D-score of gain-framed messages was significantly larger than that of loss frames (P =.002).
                
                                
                    CONCLUSIONS
                        The P300 effect suggests that gain-framed messages receive more attention from participants than loss-framed messages. The results of the IAT demonstrate that individuals with high-issue involvement are likely to find elaboration on gain-framed information. From the perspective of loss aversion, this study found a positive bias in health-promoting information: gain-framed messages tend to have more message elaboration than loss-framed messages and might arouse positive attitudes toward HPV vaccination.
                ",gain-framing,1,include,"JMIR 2023 preprint on gain/loss framing HPV vaccine × ERP attention measures; eligible (experimental, framing, behavior-intent outcome).",llm-claude-opus-4-7
openalex:W2019735051,10.1037//0022-3514.52.3.500,1987,"The effect of message framing on breast self-examination attitudes, intentions, and behavior.","Beth E. Meyerowitz, Shelly Chaiken",Journal of Personality and Social Psychology,"In this study we tested the framing hypothesis that a pamphlet stressing the negative consequences of not performing breast self-examination (BSE) would be more persuasive than a pamphlet emphasizing BSE's positive consequences. College-aged female subjects were exposed to a loss-frame pamphlet, a gain-frame pamphlet, or a no-arguments pamphlet, or they received no pamphlet describing the importance of and the techniques for performing BSE. Attitudes toward BSE and intentions to perform BSE were assessed immediately after this intervention and again 4 months later. The follow-up also assessed subjects' postexperimental BSE behavior. Consistent with predictions, subjects who read a pamphlet with arguments framed in loss language manifested more positive BSE attitudes, intentions, and behaviors than did subjects in the other three conditions. The greater impact of the loss pamphlet could not be attributed to greater fear arousal, better memory for pamphlet content, greater perceived susceptibility to breast cancer, or stronger beliefs in BSE's efficacy on the part of the loss subjects. Only measures of perceived self-efficacy in performing BSE were differentially affected by the framing manipulation, with loss subjects reporting the greatest levels of self-confidence. The results are discussed in terms of prospect theory's framing postulate and a simpler negativity-bias conceptualization, and underlying mechanisms such as differential salience and vividness are considered. Clinical implications of the findings are also explored.",gain-framing;loss-framing,2,include,"JPSP 1987 between-subjects experiment on framing × breast self-examination pamphlets with 4-month follow-up behavioral measure; eligible (experimental, framing, behavioral outcome).",llm-claude-opus-4-7
openalex:W2005528241,10.1111/j.1559-1816.1990.tb00426.x,1990,"Effects of Contract Framing, Motivation to Quit, and Self‐Efficacy on Smoking Reduction<sup>1</sup>","Dawn K. Wilson, Kenneth A. Wallston, Joan E. King",Journal of Applied Social Psychology,"Social learning theorists (SLT) have advocated that individual's cognitive beliefs about perceived behavioral ability and outcome expectancies are predictive of behavior change. SLT's also propose that the threat of losing positive rewards may result in greater behavior change than gaining rewards for altering behaviors such as smoking. Specifically, presenting behavioral outcomes in a loss frame context has proven more influential under certain conditions than presenting outcomes in a gain frame context. The present study evaluated the relationship between smoking cessation self‐efficacy motivation to quit, and contract framing on smoking reduction. The majority of cognitive and behavioral changes occurred between baseline and 3 months into a 12‐month treatment program. An interaction between contract framing and motivation to quit suggested that, for subjects with low motivation, receiving combined (gain plus loss) frame contracts resulted in smoking fewer cigarettes posttreatment than receiving gain frame only contracts. An interaction between framing and self‐efficacy also indicated that subjects who received combined frame contracts smoked fewer cigarettes if they had high rather than low self‐efficacy beliefs.",gain-framing,1,include,J Applied Soc Psych 1990 study on contract-framing × motivation × self-efficacy for smoking reduction; eligible.,llm-claude-opus-4-7
openalex:W2095966890,10.1006/obhd.1994.1076,1994,"Effects of Gain-Loss Frames in Negotiation: Loss Aversion, Mismatching, and Frame Adoption","Carsten K. W. De Dreu, Peter J. Carnevale, B.J.M. Emans, Evert Van de Vliert",Organizational Behavior and Human Decision Processes,,gain-framing;loss-framing,2,include,"OBHDP 1994 on gain/loss framing × loss aversion × frame adoption in negotiation; eligible (negotiation outcome, framing manipulation).",llm-claude-opus-4-7
openalex:W2146214021,10.1002/ejsp.2420240407,1994,Effects of gain—loss frames on satisfaction with self–other outcome‐differences,"Carsten K. W. De Dreu, Joselito C. Lualhati, Christopher McCusker",European Journal of Social Psychology,"Abstract This research concerned satisfaction with outcome‐differences (advantageous inequity, equity, or disadvantageous inequity) as a function of the individual's gain or loss frame, other's gain or loss frame, the cooperative or noncooperative nature of the relationship, and their interactions. After reading a scenario, subjects rated on a satisfaction‐dissatisfaction scale a series of outcome‐pairs providing themselves and another party with outcomes. Consistent with Equity Theory, results showed that gain framed individuals found equity more pleasing than advantageous inequity, which in turn was preferred over disadvantageous inequity, but only when the decision making context was coopera‐ tive rather than noncooperative. In a noncooperative context, gain framed individuals were as pleased with equity as with advantageous inequity. Contrary to Equity Theory, but consistent with Prospect Theory, loss framed individuals were relatively insensitive to outcome‐differences and the nature of the relationship. Results finally suggested that advantageous inequity was preferred less when the other party had a loss rather than gain frame, albeit only under cooperative circumstances.",gain-framing,1,include,EJSP 1994 on gain-loss frames × satisfaction with outcome-differences (cooperative/noncooperative); negotiation-relevant; eligible.,llm-claude-opus-4-7
openalex:W2048180403,10.1016/0148-2963(93)00038-3,1995,Message framing and buying behavior: A field experiment,"Yoav Ganzach, Nili Karsahi",Journal of Business Research,,gain-framing;loss-framing,2,include,"J Business Research 1995 'Message framing and buying behavior: A field experiment'; eligible (field experiment, framing, buying-behavior outcome).",llm-claude-opus-4-7
openalex:W2055329310,10.1037//0278-6133.14.2.178,1995,The effects of message framing on mammography utilization.,"Sarah J. Banks, Peter Salovey, Susan Hayes Greener, Alexander J. Rothman, Anne Moyer",Health Psychology,"This experiment compared the effectiveness of gain-versus loss-framed messages to persuade women to obtain mammography screening. One hundred and thirty-three women 40 years and older and not adhering to current guidelines for obtaining mammography screening were assigned randomly to view either gain-framed (emphasizing the benefits of obtaining mammography) or loss-framed (emphasizing the risks of not obtaining mammography) persuasive videos that were factually equivalent. Attitudes and beliefs were measured before and immediately following the intervention. Mammography utilization was assessed 6 and 12 months later. Consistent with predictions based on prospect theory, women who viewed the loss-framed message were more likely to have obtained a mammogram within 12 months of the intervention. These findings suggest that loss-framed messages may have an advantage in the promotion of detection behaviors such as mammography.",gain-framing;loss-framing,2,include,"Health Psychology 1995 RCT N=133 on framing × mammography utilization with behavioral follow-up; eligible (RCT, framing, behavioral outcome).",llm-claude-opus-4-7
openalex:W2142382692,10.1080/14792779443000021,1995,Outcome Frames in Bilateral Negotiation: Resistance to Concession Making and Frame Adoption,"Carsten K. W. De Dreu, Evert Van de Vliert, Peter J. Carnevale, B.J.M. Emans",European Review of Social Psychology,"This chapter reviews research and theory concerned with outcome frames in negotiation—the negotiator's conception of the dispute as involving gains (gain frame) or losses (loss frame). We argue that because losses are more aversive than equivalent gains are attractive, loss framed negotiators should display greater resistance to concession making and settle less easily than negotiators with a gain frame. A review of frame research supports this argument. Furthermore, we propose that during negotiations, disputants communicate about their frame, and tend to adopt the frame communicated by their opponent. Several experiments are reviewed that show this frame adoption effect to be likely especially when the negotiators themselves have a gain rather than a loss frame. The chapter concludes with a discussion of the importance of outcome frames to the escalation of social conflict.",gain-framing,1,include,European Review Soc Psych 1995 chapter reviewing framing-in-negotiation research; eligible (review of empirical negotiation literature).,llm-claude-opus-4-7
openalex:W2160626509,10.1177/0146167296223004,1996,Message Framing and Persuasion: A Message Processing Analysis,"Stephen M. Smith, Richard E. Petty",Personality and Social Psychology Bulletin,"Previous research has indicated that the way in which a message is framed affects the amount of persuasion it elicits. Various processes have been suggested to account for the differential persuasiveness of negatively (or loss-) framed messages versus positively (or gain-) framed messages. The authors hypothesized that differential processing of negatively and positively framed messages is a factor that contributes to the differential persuasiveness that has been observed. Experiment 1 demonstrated that message frames are consequential in determining the extent to which a message is scrutinized. Experiment 2 provided evidence for a mechanism by which this occurs. Specifically, by manipulating the expected framing and the actual framing of messages, the authors found that either negatively or positively framed messages could lead to more extensive processing, depending on which was less expected.",gain-framing;loss-framing,2,include,"PSPB 1996 experimental investigations of framing × message processing; eligible (experimental, framing, persuasion outcome).",llm-claude-opus-4-7
openalex:W2077818284,10.1037/0033-2909.121.1.3,1997,Shaping perceptions to motivate healthy behavior: The role of message framing.,"Alexander J. Rothman, Peter Salovey",Psychological Bulletin,"Health-relevant communications can be framed in terms of the benefits (gains) or costs (losses) associated with a particular behavior, and the framing of such persuasive messages influences health decision making. Although to ask people to consider a health issue in terms of associated costs is considered an effective way to motivate behavior, empirical findings are inconsistent. In evaluating the effectiveness of framed health messages, investigators must appreciate the context in which health-related decisions are made. The influence of framed information on decision making is contingent on people, first, internalizing the advocated frame and, then, on the degree to which performing a health behavior is perceived as risky. The relative effectiveness of gain-framed or loss-framed appeals depends, in part, on whether a behavior serves an illness-detecting or a health-affirming function. Finally, the authors discuss the cognitive and affective processes that may mediate the influence of framed information on judgment and behavior.",gain-framing;loss-framing,2,include,"Psychological Bulletin 1997 Rothman & Salovey theoretical synthesis of framing for health behavior; eligible (review of empirical literature, primary studies in scope).",llm-claude-opus-4-7
