id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
openalex:W2019735051,10.1037//0022-3514.52.3.500,1987,"The effect of message framing on breast self-examination attitudes, intentions, and behavior.","Beth E. Meyerowitz, Shelly Chaiken",Journal of Personality and Social Psychology,"In this study we tested the framing hypothesis that a pamphlet stressing the negative consequences of not performing breast self-examination (BSE) would be more persuasive than a pamphlet emphasizing BSE's positive consequences. College-aged female subjects were exposed to a loss-frame pamphlet, a gain-frame pamphlet, or a no-arguments pamphlet, or they received no pamphlet describing the importance of and the techniques for performing BSE. Attitudes toward BSE and intentions to perform BSE were assessed immediately after this intervention and again 4 months later. The follow-up also assessed subjects' postexperimental BSE behavior. Consistent with predictions, subjects who read a pamphlet with arguments framed in loss language manifested more positive BSE attitudes, intentions, and behaviors than did subjects in the other three conditions. The greater impact of the loss pamphlet could not be attributed to greater fear arousal, better memory for pamphlet content, greater perceived susceptibility to breast cancer, or stronger beliefs in BSE's efficacy on the part of the loss subjects. Only measures of perceived self-efficacy in performing BSE were differentially affected by the framing manipulation, with loss subjects reporting the greatest levels of self-confidence. The results are discussed in terms of prospect theory's framing postulate and a simpler negativity-bias conceptualization, and underlying mechanisms such as differential salience and vividness are considered. Clinical implications of the findings are also explored.",gain-framing;loss-framing,2,include,"JPSP 1987 between-subjects experiment on framing × breast self-examination pamphlets with 4-month follow-up behavioral measure; eligible (experimental, framing, behavioral outcome).",llm-claude-opus-4-7
openalex:W2170412549,10.1093/her/3.2.161,1988,Compliance to health recommendations: a theoretical overview of message framing,"Dawn K. Wilson, Scot E. Purdon, Kenneth A. Wallston",Health Education Research,"Health care professionals have become increasingly interested in motivating individuals to comply with health recommendations. One approach to this issue has been to evaluate the impact of message framing on behavior change processes. Three types of framing are described: gain, loss and fear. Theoretical considerations from such theories as the Health Belief Model, Prospect Theory, and Protection Motivation reveal the significance of two dimensions, the perceived value and perceived threat of an outcome. The perceived value dimension focuses on the importance of defining messages on the basis of whether or not a valued outcome is acquired, and the perceived threat dimension stresses the importance of negative outcomes. Perceived value is critical to a manipulation of gain and loss framing, while perceived threat is critical to a manipulation of fear framing. The assumptions underlying the theories relevant to these distinctions are considered, followed by a review of the literature, and speculations about the possible mechanisms which may mediate framing effects.",loss-framing,1,include,Health Education Research 1988 theoretical review of message framing (gain/loss/fear) for health behavior compliance; eligible (synthesis of empirical literature).,llm-claude-opus-4-7
openalex:W2095966890,10.1006/obhd.1994.1076,1994,"Effects of Gain-Loss Frames in Negotiation: Loss Aversion, Mismatching, and Frame Adoption","Carsten K. W. De Dreu, Peter J. Carnevale, B.J.M. Emans, Evert Van de Vliert",Organizational Behavior and Human Decision Processes,,gain-framing;loss-framing,2,include,"OBHDP 1994 on gain/loss framing × loss aversion × frame adoption in negotiation; eligible (negotiation outcome, framing manipulation).",llm-claude-opus-4-7
openalex:W2048180403,10.1016/0148-2963(93)00038-3,1995,Message framing and buying behavior: A field experiment,"Yoav Ganzach, Nili Karsahi",Journal of Business Research,,gain-framing;loss-framing,2,include,"J Business Research 1995 'Message framing and buying behavior: A field experiment'; eligible (field experiment, framing, buying-behavior outcome).",llm-claude-opus-4-7
openalex:W2055329310,10.1037//0278-6133.14.2.178,1995,The effects of message framing on mammography utilization.,"Sarah J. Banks, Peter Salovey, Susan Hayes Greener, Alexander J. Rothman, Anne Moyer",Health Psychology,"This experiment compared the effectiveness of gain-versus loss-framed messages to persuade women to obtain mammography screening. One hundred and thirty-three women 40 years and older and not adhering to current guidelines for obtaining mammography screening were assigned randomly to view either gain-framed (emphasizing the benefits of obtaining mammography) or loss-framed (emphasizing the risks of not obtaining mammography) persuasive videos that were factually equivalent. Attitudes and beliefs were measured before and immediately following the intervention. Mammography utilization was assessed 6 and 12 months later. Consistent with predictions based on prospect theory, women who viewed the loss-framed message were more likely to have obtained a mammogram within 12 months of the intervention. These findings suggest that loss-framed messages may have an advantage in the promotion of detection behaviors such as mammography.",gain-framing;loss-framing,2,include,"Health Psychology 1995 RCT N=133 on framing × mammography utilization with behavioral follow-up; eligible (RCT, framing, behavioral outcome).",llm-claude-opus-4-7
openalex:W2013452956,10.1002/(sici)1099-0992(199603)26:2<315::aid-ejsp759>3.0.co;2-z,1996,Gain–loss-frame in outcome-interdependence: does it influence equality or equity considerations?,Carsten K. W. De Dreu,European Journal of Social Psychology,"Research suggests that framing outcomes as gains produces stronger concern for distributive justice than framing outcomes as losses. Unfortunately, however, this prior research manipulated own and other's outcomes only (and not own and other's input). Hence, it remained unclear whether framing affects concern with equality—everyone gets an equal share regardless whether one ‘deserves’ it or not—and/or equity—the share one gets is a function of the proportionality of one's own, and the other parties' inputs. The current experiment addressed this problem. Subjects (N = 94) read a scenario manipulating own and some co-workers' inputs, and subsequently rated satisfaction with pairs of outcomes providing themselves with more, equal or less outcomes than their co-worker. Outcomes to oneself exceeded expectation (gain-frame) or remained below it (loss-frame). Corroborating and expanding prior research, results showed that people are more concerned with both equality and equity when they have a gain- rather than loss-frame. In addition, results revealed evidence for a self-serving bias, in that people prefer equity or equality, depending on what serves best their own interests. It is concluded that frame affects the degree to which people are concerned about distributive justice.",loss-framing,1,include,"EJSP 1996 on gain/loss framing × outcome-interdependence (equality/equity); eligible (experimental, framing, distributive-justice outcome relevant to negotiation).",llm-claude-opus-4-7
openalex:W2160626509,10.1177/0146167296223004,1996,Message Framing and Persuasion: A Message Processing Analysis,"Stephen M. Smith, Richard E. Petty",Personality and Social Psychology Bulletin,"Previous research has indicated that the way in which a message is framed affects the amount of persuasion it elicits. Various processes have been suggested to account for the differential persuasiveness of negatively (or loss-) framed messages versus positively (or gain-) framed messages. The authors hypothesized that differential processing of negatively and positively framed messages is a factor that contributes to the differential persuasiveness that has been observed. Experiment 1 demonstrated that message frames are consequential in determining the extent to which a message is scrutinized. Experiment 2 provided evidence for a mechanism by which this occurs. Specifically, by manipulating the expected framing and the actual framing of messages, the authors found that either negatively or positively framed messages could lead to more extensive processing, depending on which was less expected.",gain-framing;loss-framing,2,include,"PSPB 1996 experimental investigations of framing × message processing; eligible (experimental, framing, persuasion outcome).",llm-claude-opus-4-7
openalex:W2077818284,10.1037/0033-2909.121.1.3,1997,Shaping perceptions to motivate healthy behavior: The role of message framing.,"Alexander J. Rothman, Peter Salovey",Psychological Bulletin,"Health-relevant communications can be framed in terms of the benefits (gains) or costs (losses) associated with a particular behavior, and the framing of such persuasive messages influences health decision making. Although to ask people to consider a health issue in terms of associated costs is considered an effective way to motivate behavior, empirical findings are inconsistent. In evaluating the effectiveness of framed health messages, investigators must appreciate the context in which health-related decisions are made. The influence of framed information on decision making is contingent on people, first, internalizing the advocated frame and, then, on the degree to which performing a health behavior is perceived as risky. The relative effectiveness of gain-framed or loss-framed appeals depends, in part, on whether a behavior serves an illness-detecting or a health-affirming function. Finally, the authors discuss the cognitive and affective processes that may mediate the influence of framed information on judgment and behavior.",gain-framing;loss-framing,2,include,"Psychological Bulletin 1997 Rothman & Salovey theoretical synthesis of framing for health behavior; eligible (review of empirical literature, primary studies in scope).",llm-claude-opus-4-7
openalex:W2066855679,10.1006/obhd.1998.2800,1998,Negotiator Risk: Sources of Uncertainty and the Impact of Reference Points on Negotiated Agreements,William P. Bottom,Organizational Behavior and Human Decision Processes,,loss-framing,2,include,"OBHDP 1998 on negotiator risk × reference points × agreement outcomes; eligible (negotiation experiment, framing/anchoring mechanism).",llm-claude-opus-4-7
openalex:W2011206369,10.1177/0146167299259003,1999,The Systematic Influence of Gain-and Loss-Framed Messages on Interest in and Use of Different Types of Health Behavior,"Alexander J. Rothman, Steven C. Martino, Brian T. Bedell, Jerusha B. Detweiler, Peter Salovey",Personality and Social Psychology Bulletin,"Framing health messages systematically in terms of either gains or losses influences the behaviors that people adopt. Rothman and Salovey proposed that the relative influence of gain-and loss-framed messages is contingent on people’s perception of the risk or uncertainty associated with adopting the recommended behavior. Specifically, loss-framed messages are more effective when promoting illness-detecting (screening) behaviors, but gain-framed messages are more effective when promoting health-affirming (prevention) behaviors. Two experiments provide a direct test of this conceptual framework. In Experiment 1, participants’ willingness to act after reading about a new disease was a function of how the information was framed and the type of behavior promoted. Experiment 2 replicated and extended these findings with a real health concern—gum disease. Gain-framed pamphlets heightened interest in a plaque-fighting mouth rinse, whereas loss-framed pamphlets heightened interest in a plaque-detecting disclosing rinse. Research on message framing provides a theoretically based guide for the development of effective health messages.",gain-framing;loss-framing,2,include,PSPB 1999 two experiments testing Rothman & Salovey framing × prevention/detection behaviors; eligible.,llm-claude-opus-4-7
