id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
openalex:W1984028864,10.1037/0022-3514.36.5.463,1978,Low-ball procedure for producing compliance: Commitment then cost.,"Robert B. Cialdini, John T. Cacioppo, Rodney L. Bassett, John A. Miller",Journal of Personality and Social Psychology,"University of Notre DameJohn A. MillerOhio State UniversityThe low-ball technique, a tactic often used by automobile sales dealers toproduce compliance from customers, was examined in a set of three experi-ments. In all three studies, a requester who induced subjects to make aninitial decision to perform a target behavior and who then made performanceof the behavior more costly obtained greater final compliance than a requesterwho informed subjects of the full costs of the target behavior from the outset.The low-ball phenomenonthat an active preliminary decision to take anaction tends to persevere even after the costs of performing the action havebeen increasedwas found to be reliable (Experiment 1), different from thefoot-in-the-door effect (Experiment 2), and effective only when the preliminarydecision was made with a high degree of choice (Experiment 3). In competi-tion with three other conceptual explanations, a formulation based on the con-cept of commitment was seen to best account for the results. An ecologicallyderived strategy for the identification and investigation of research questionswas used and discussed.Social psychologists have recently begun toexamine the effects of a variety of factors onthe likelihood that one person will complywith a request from another (cf. Cialdini &Schroeder, 1976). These investigations havegenerally used a similar epistemological se-quence in attempting to uncover the psycho-logical processes that influence compliancebehavior. Typically, factors likely to affectthe tendency to comply with a request havebeen identified on the basis of existing psy-chological theory. Once selected in this man-ner, the variables are submitted to experi-mental test to determine whether they doinfluence compliance probabilities accordingto prediction.",lowball,2,include,JPSP 1978 Cialdini/Cacioppo/Bassett/Miller — seminal lowball compliance experiments referencing auto sales practice; eligible (seminal lowball).,llm-claude-opus-4-7
openalex:W4233130823,10.1037//0022-3514.36.5.463,1978,Low-ball procedure for producing compliance: Commitment then cost.,"Robert B. Cialdini, John T. Cacioppo, Rodney L. Bassett, John A. Miller",Journal of Personality and Social Psychology,,lowball,1,include,JPSP 1978 — duplicate of i=10 (Cialdini et al. lowball original); flag at dedup-extraction.,llm-claude-opus-4-7
openalex:W2084036335,10.1080/00223980.1979.9915074,1979,Influence of Low-Balling on Buyers' Compliance,"William H. Motes, Arch G. Woodside",The Journal of Psychology,"(1979). Influence of Low-Balling on Buyers' Compliance. The Journal of Psychology: Vol. 101, No. 2, pp. 219-221.",lowball,1,include,"Journal of Psychology 1979 short paper on lowballing buyer compliance; eligible (experimental, lowball, buyer-compliance outcome).",llm-claude-opus-4-7
openalex:W2109630906,10.1037/0022-3514.40.3.492,1981,The low-ball compliance technique: Task or person commitment?,"Jerry M. Burger, Richard E. Petty",Journal of Personality and Social Psychology,"Three experiments were conducted to examine the mediating process involved in the low-ball procedure for increasing compliance. In Experiment 1, subjects who agreed to but were not allowed to perform an initial request complied with a more costly version of the same request to a greater extent than did controls only when the second request came from the same person as did the first request and not when it came from a different person. In Experiment 2, subjects who agreed to but were not allowed to carry out an initial low-cost request complied with a larger request from the same person to the same extent, whether the first request was related or unrelated to the second. In Experiment 3, subjects were allowed or not allowed to perform an initial small request after agreeing to do so. Later, these subjects were approached by either the same or a different person with a larger second request. All groups showed increased compliance over a control cell. However, subjects not allowed to perform the initial request who were approached by the same person for the second request showed a higher rate of compliance than subjects in the other experimental conditions. The results from the three experiments suggest that an unfulfilled obligation to the requester, rather than a commitment to the initial target behavior, is responsible for the effectiveness of the low-ball technique. Recent social psychological investigations have examined the effectiveness of tech-niques designed to increase compliance to requests in the absence of any obvious sources of pressure (cf. DeJong, 1979). The earliest compliance-without-pressure tech-nique, the foot-in-the-door, was introduced by Freedman and Fraser (1966). Subjects who complied with an initial small request were found to be more likely to agree to a similar but larger request from a different person than were subjects contacted only with the second request. Freedman and Fraser suggested that as a result of perform-Portions of this report were presented at the meeting of the Midwestern Psychological Association, Chicago,",lowball,2,include,Seminal lowball technique experimental study (Cialdini-tradition); JPSP RCT,llm-claude-opus-4-7
openalex:W4251437465,10.1037//0022-3514.40.3.492,1981,The low-ball compliance technique: Task or person commitment?,"Jerry M. Burger, Richard E. Petty",Journal of Personality and Social Psychology,,lowball,1,include,JPSP 1981 — duplicate of i=4 (Cialdini lowball Task or Person Commitment); flag at dedup-extraction.,llm-claude-opus-4-7
openalex:W2004682544,10.1111/j.1559-1816.1985.tb00920.x,1985,The Relative Effectiveness of Three Compliance Techniques in Eliciting Donations to a Cultural Organization,"Richard Brownstein, Richard D. Katzev",Journal of Applied Social Psychology,"To compare the relative effectiveness of three compliance techniques during a museum fund‐raising drive, 89 individuals were asked to contribute $1 to the museum after having been exposed to an initial request according to one of the following conditions: (1) in the foot‐in‐thedoor condition, individuals were first asked to sign a petition in support of the museum; (2) in the door‐in‐the‐face condition, they were initially asked for a $5 contribution; (3) in the. low‐ball condition, they were asked to contribute 75 cents and then to increase this amount by 25 cents in order to support the children's program: and (4) in the control condition, subjects simply received the target request for $1. The groups differed significantly in terms of the number of individuals who donated, and in the amount of their contributions. The low‐ball condition was generally the most effective, especially with respect to the amount of money contributed. This was followed in turn by the door‐in‐the‐face and control conditions, with the foot‐in‐the‐door condition the least effective in virtually every comparison. These findings are discussed in terms of their implications for the experimental analysis of compliance, as well as the development of more effective fund‐raising programs.",ditf;lowball,2,include,"J Applied Social Psychology 1985 museum-fundraising experiment N=89 comparing FITD/DITF/lowball; eligible (experimental, three techniques, donation-compliance outcome per §5.5).",llm-claude-opus-4-7
openalex:W2037536883,10.1002/mar.4220030204,1986,The influence of ‘low‐balling’ on buyers' compliance: Revisited,"William H. Motes, Reginald Engene Brown, Hazel F. Ezell, Gail I. Hudson",Psychology and Marketing,"Abstract Central to the low‐ball strategy is the revocation and subsequent alteration of an integral part of an offer after a target subject accepts. Allegedly used to some extent in the automobile industry, it has drawn criticism as an unethical and characteristically deceptive practice. Yet, is such a strategy really effective in increasing customer compliance in real commercial settings? Using a sample of 160 subjects, the low‐ball procedure was again tested. Although effective, its predicted superiority over several competing strategies was unconfirmed.",lowball,1,include,"Psychology and Marketing 1986 on lowball × buyer compliance in commercial settings; eligible (experimental, lowball, buyer-compliance outcome — directly on-thesis).",llm-claude-opus-4-7
openalex:W2094763639,10.1002/ejsp.2420170311,1987,Tabacco deprivation: The foot‐in‐the‐door technique versus the low‐ball technique,Robert Vincent Joule,European Journal of Social Psychology,"Abstract The present experiment was aimed at comparing the efficiency of the foot‐in‐the‐door technique (Freedman and Fraser, 1966) to that of the low‐ball technique (Cialdini Bassett, Cacioppo and Miller, 1978). Subjects were requested to abstain from smoking for 18 hours. The results demonstrated the superiority of the low‐ball technique. An original method of operationalizing the low‐ball technique (the use of intermediate behaviours) is presented herein.",fitd;lowball,3,include,"EJSP 1987 experiment comparing FITD vs lowball for tobacco deprivation request; eligible (experimental, two techniques, behavioral compliance outcome).",llm-claude-opus-4-7
openalex:W2075319678,10.1080/00224545.1989.9712050,1989,The Influence of Enlightenment on Compliance,"Richard D. Katzev, Richard Brownstein",The Journal of Social Psychology,"Abstract The effect of knowledge of compliance principles on subsequent behavior was investigated in three groups of 35 adult Americans. One group read portions of a study on the door-in-the-face technique, another read about the low-ball technique, and the third group, the control condition, read a topic not related to compliance. Immediately afterward, the two compliance techniques and a target-request-only procedure were employed in asking the groups to complete a math test and, during a follow-up telephone call 2 weeks later, to participate in a phone survey. There were no differences between the groups in accepting the math test or completing the phone survey. However, there was a significant overall effect of information on returning the math test. In some comparisons, knowledge of the door-in-the-face technique decreased compliance, while in others information about the low-ball technique increased it.",ditf;lowball,2,include,"J Social Psych 1989 N=105 experiment on prior compliance-technique knowledge × subsequent compliance susceptibility (DITF, lowball); eligible (experimental, two techniques, compliance outcome).",llm-claude-opus-4-7
openalex:W2039244147,10.1111/j.1911-3846.1994.tb00440.x,1994,A Multiperiod Model and Experimental Evidence of Independence and “Lowballing”*,"Jeffrey W. Schatzberg, Galen R. Sevcik",Contemporary Accounting Research,"Abstract. Auditors, regulators, and academics are interested in the pricing practice of “lowballing” and its relationship to auditor independence. Several analytical models have examined these issues. However, these theories have gone untested primarily due to a lack of field data concerning important environmental variables. In this study, a multiperiod model of lowballing and independence is developed and tested in laboratory markets via the experimental economics methodology. The study contributes to the literature in two respects. First, it represents one of the first studies providing empirical evidence and theory testing of the relationship between lowballing and independence. Second, the model presents a new rationale for low‐ball pricing and its relationship to auditor independence. Lowballing and impairment of independence, occurring without exogenous transaction costs, are caused by positing cross‐sectional variation in audit cost and quality and an informational advantage that accrues to an incumbent auditor‐client pair regarding future variation in these audit dimensions. The model is operationalized in a multiperiod laboratory market consisting of multiple sellers and buyers. Sixteen markets are conducted to test price and reporting predictions of the model. The markets strongly exhibit lowballing behavior, but the exact price predictions are generally not supported. The markets also support reporting predictions, with sellers deviating from truthful reporting (impairing their independence) only when additional future profits are greater than the additional cost of misreporting. Data availability. The laboratory market data used in this paper are available from the authors upon request.",lowball,1,include,"Contemporary Accounting Research 1994 lab experiment on auditor lowballing × independence; eligible (experimental, lowball, pricing/independence outcome — direct lowball test).",llm-claude-opus-4-7
