id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
openalex:W2024052129,10.1016/s0022-1031(75)80025-4,1975,Disclosing oneself to a stranger: Reciprocity and its limits,Zick Rubin,Journal of Experimental Social Psychology,,reciprocity,1,include,"JESP 1975 on reciprocity in self-disclosure to stranger; eligible (experimental, reciprocity, disclosure-compliance outcome).",llm-claude-opus-4-7
openalex:W2010273563,10.1111/j.1445-5994.1998.tb01953.x,1998,Commercial detailing techniques used by pharmaceutical representatives to influence prescribing,"Elizabeth E. Roughead, Ken Harvey, Andrew L. Gilbert",Australian and New Zealand Journal of Medicine,"AIM: To determine the use of influence techniques by pharmaceutical representatives in their encounters with medical practitioners. METHOD: We identified six influence techniques from the marketing literature which are thought to be commonly used by sales people. These have been termed the principles of reciprocity, friendship/liking, commitment/consistency, social validation, authority, and scarcity. We examined the use of these techniques by analysing audio-recordings of pharmaceutical representatives' presentations to medical practitioners. RESULTS: Sixteen recordings, detailing 64 medicines, were obtained from seven medical practitioners. Reciprocation was the most commonly observed method of influence. Samples, gifts, printed material, patient information leaflets or invitations were offered in all encounters. Appeals to authority figures, where promotional claims were supported by reference to professors or specialists, specialist groups and specialist hospitals, were recorded. Social validation acts, where reference was made to the peer group were also common. Commitment acts were observed to occur in two ways; the first was as a direct request to use the product detailed and the second was as a series of questions or statements which gradually moved from pre-agreed areas to solicitation of a commitment to prescribe the drug. CONCLUSION: Influence techniques were found to be commonly used by pharmaceutical representatives when they detailed products to medical practitioners. Medical practitioners may not be aware of the potential effect these techniques can have on their prescribing practices. Knowledge of these techniques must be incorporated into educational programmes designed to provide health professionals with critical appraisal skills.",commitment-consistency;reciprocity,3,include,"Australian and New Zealand J Medicine 1998 on pharmaceutical-sales-rep use of six influence techniques (incl reciprocity/commitment) with physicians; eligible (commercial pharma-sales context, multiple persuasion techniques, prescriber-decision outcome).",llm-claude-opus-4-7
pmid:12353787,10.2466/pr0.2002.91.1.241,2002,Empathy and generalized reciprocity in compliance with requests for help.,"Allsop KI, Fifield K, Seiter JS",Psychological reports,,reciprocity,1,include,"Psychological Reports 2002 PMID on empathy × generalized reciprocity × help-request compliance; eligible (experimental, reciprocity, compliance outcome).",llm-claude-opus-4-7
openalex:W2067645888,10.1016/s0022-1031(03)00015-5,2003,Attributions of trust and the calculus of reciprocity,"Madan M. Pillutla, Deepak Malhotra, J. Keith Murnighan",Journal of Experimental Social Psychology,,reciprocity,1,include,"JESP 2003 on attributions of trust × calculus of reciprocity; eligible (experimental, reciprocity, exchange outcome).",llm-claude-opus-4-7
openalex:W2006379789,10.1016/j.obhdp.2004.03.001,2004,Trust and reciprocity decisions: The differing perspectives of trustors and trusted parties,Deepak Malhotra,Organizational Behavior and Human Decision Processes,,reciprocity,1,include,"OBHDP 2004 on trustor/trusted-party perspectives in reciprocity decisions; eligible (experimental, reciprocity, exchange outcome).",llm-claude-opus-4-7
pmid:18729705,10.1037/a0012612,2008,"Negotiators who give too much: unmitigated communion, relational anxieties, and economic costs in distributive and integrative bargaining.","Amanatullah ET, Morris MW, Curhan JR",Journal of personality and social psychology,,reciprocity,1,include,"JPSP 2008 PMID on negotiators with unmitigated communion × economic costs in bargaining; eligible (experimental, negotiation outcome including economic-cost outcome).",llm-claude-opus-4-7
openalex:W2009820538,10.1287/mnsc.1120.1609,2012,Engineering Trust: Reciprocity in the Production of Reputation Information,"Gary E. Bolton, Ben Greiner, Axel Ockenfels",Management Science,"Reciprocity in feedback giving distorts the production and content of reputation information in a market, hampering trust and trade efficiency. Guided by feedback patterns observed on eBay and other platforms, we run laboratory experiments to investigate how reciprocity can be managed by changes in the way feedback information flows through the system, leading to more accurate reputation information, more trust, and more efficient trade. We discuss the implications for theory building and for managing the redesign of market trust systems. This paper was accepted by Teck Ho, decision analysis.",reciprocity,1,include,"Management Science 2012 laboratory experiments on reciprocity in eBay-style feedback giving → reputation/trust/trade efficiency; eligible (experimental, reciprocity, market-decision outcome).",llm-claude-opus-4-7
pmid:26666836,10.1080/00224545.2015.1129304,2016,Promising reciprocity: When proposing a favor for a request increases compliance even if the favor is not accepted.,"Guéguen N, Meineri S, Ruiz C, Pascual A",The Journal of social psychology,,reciprocity,1,include,"J Social Psych 2016 PMID on promising reciprocity (proposing favor for request increases compliance); eligible (experimental, reciprocity, compliance outcome).",llm-claude-opus-4-7
openalex:W3013551346,10.1037/hea0000854,2020,The effect of persuasive messages on hospital visitors’ hand hygiene behavior.,"Susanne Gaube, Peter Fischer, Verena Windl, Eva Lermer",Health Psychology,"OBJECTIVE: Hospital visitors pose a risk for transmitting pathogens that can cause health care-associated infections. The present study aimed to test an evidence-based intervention to improve visitors' hand hygiene behavior through persuasive messages. METHOD: For the 14-week-long field experiment, 7 signs were designed according to the principles of persuasion proposed by Cialdini: reciprocity, consistency, social-proof, unity, liking, authority, and scarcity. Each sign was displayed on a screen for 1 week directly above the hand-rub dispenser in a hospital lobby. After each 1-week posting, the screen was blank for 1 week. RESULTS: An electronic monitoring system counted 246,098 people entering and leaving the hospital's lobby and 17,308 dispenser usages. The signs based on the authority and the social-proof principles significantly increased the hand-rub dispenser usage rate in comparison to the average baseline usage rate. CONCLUSIONS: These results indicate that simple and cost-efficient interventions can initiate expedient behavior change in hospitals. However, the findings also highlight the importance of careful planning and rigorous pretesting of material for an intervention to be effective. Theoretical and practical implications of these findings are discussed. (PsycInfo Database Record (c) 2020 APA, all rights reserved).",social-proof;reciprocity,3,include,"Health Psychology 2020 14-week field experiment using 7 Cialdini principles on hospital visitor hand hygiene; eligible (field experiment, multiple persuasion principles, behavioral outcome).",llm-claude-opus-4-7
openalex:W3092042051,10.1037/pspa0000261,2020,Does social psychology persist over half a century? A direct replication of Cialdini et al.’s (1975) classic door-in-the-face technique.,"Oliver Genschow, Mareike Westfal, Jan Crusius, Léon Bartosch, Kyra Isabel Feikes, Nina Pallasch, Mirella Wozniak",Journal of Personality and Social Psychology,"Many failed replications in social psychology have cast doubt on the validity of the field. Most of these replication attempts have focused on findings published from the 1990s on, ignoring a large body of older literature. As some scholars suggest that social psychological findings and theories are limited to a particular time, place, and population, we sought to test whether a classical social psychological finding that was published nearly half a century ago can be successfully replicated in another country on another continent. To this end, we directly replicated Cialdini et al.'s (1975) door-in-the-face (DITF) technique according to which people's likelihood to comply with a target request increases after having turned down a larger request. Thereby, we put the reciprocal concessions theory-the original process explanation of the DITF technique-to a critical test. Overall, compliance rates in our replication were similarly high as those Cialdini et al. (1975) found 45 years ago. That is, participants were more likely to comply with a target request after turning down an extreme request than participants who were exposed to the target request only or to a similarly small request before being exposed to the target request. These findings support the idea that reciprocity norms play a crucial role in DITF strategies. Moreover, the results suggest that at least some social psychological findings can transcend a particular time, place, and population. Further theoretical implications are discussed. (PsycInfo Database Record (c) 2021 APA, all rights reserved).",ditf;reciprocity,2,include,"JPSP 2020 direct replication of Cialdini et al. (1975) DITF across half-century time gap; eligible (replication, DITF, compliance outcome).",llm-claude-opus-4-7
