id,doi,year,title,authors,journal,abstract,provenance_techniques,provenance_count,decision,decision_reason,screener
openalex:W2076875458,10.1207/s15324834basp1301_3,1992,Product Scarcity by Need for Uniqueness Interaction: A Consumer Catch-22 Carousel?,C. R. Snyder,Basic and Applied Social Psychology,"According to uniqueness theory (Snyder & Fromkin, 1980), persons are motivated to maintain a sense of specialness as they define themselves on various important self-related dimensions relative to others. The need for uniqueness may vary across differing situations and persons; as such, a high need for uniqueness may be related to (a) forces in a given situation that promote an extreme sense of high similarity and (b) dispositional factors that influence the high need for uniqueness across a variety of situations. Because commodities are an important source for defining one's sense of self in Western culture, it is reasoned that scarce products provide a vehicle for establishing one's specialness when the need for uniqueness is activated. In support of this contention, studies in which product scarcity (low vs. high) is crossed with need for uniqueness (low vs. high) have typically produced an interaction such that the high-need for uniqueness persons are especially attracted to scarce product s (Lynn, 1991). Factors that should further amplify this predicted interaction are explored, along with the implications of this interaction for American society, including a possible cycle in which the consumer may be caught in the continued search for new and special products. The need for uniqueness explanation for the valuation of scarce commodities is compared with other theoretical explanations.",scarcity,1,include,"Basic and Applied Soc Psych 1992 on product scarcity × need-for-uniqueness; eligible (experimental, scarcity, consumer-preference outcome).",llm-claude-opus-4-7
openalex:W2046126496,10.1016/0167-4870(94)90007-8,1994,Scarcity and preference: An experiment on unavailability and product evaluation,"T.M.M. Verhallen, Henry S.J. Robben",Journal of Economic Psychology,,scarcity,1,include,"J Economic Psychology 1994 experiment on unavailability × product evaluation; eligible (experimental, scarcity, consumer-evaluation outcome).",llm-claude-opus-4-7
openalex:W2090555226,10.1002/mar.20027,2004,"Cross‐national differences in proneness to scarcity effects: The moderating roles of familiarity, uncertainty avoidance, and need for cognitive closure","Jae Min Jung, James J. Kellaris",Psychology and Marketing,"Abstract The scarcity effect is a powerful social‐influence principle used by marketers to increase the subjective desirability of products. This study explores cross‐national differences in proneness to the scarcity effect and attempts to explain observed differences in terms of boundary conditions. Results of a shopping simulation experiment show a positive effect of scarcity on purchase intent and a greater proneness to such among participants from a lower‐ (U.S.) versus higher‐ (France) context culture. Moreover, the scarcity effect is moderated by product familiarity, uncertainty avoidance, and need for cognitive closure. Differential familiarity levels may help explain the observed cross‐national differences. Managerial implications concern the conditions under which marketing appeals based on scarcity should be more (versus less) persuasive. © 2004 Wiley Periodicals, Inc.",scarcity,1,include,"Psychology & Marketing 2004 cross-national shopping-simulation experiment on scarcity × purchase intent × cultural moderators; eligible (experimental, scarcity, purchase outcome).",llm-claude-opus-4-7
openalex:W2067853126,10.1007/s11747-006-0008-y,2007,The effects of perceived scarcity on consumers’ processing of price information,"Rajneesh Suri, Chiranjeev Kohli, Kent B. Monroe",Journal of the Academy of Marketing Science,,scarcity,1,include,"J Academy of Marketing Science 2007 on perceived scarcity × consumer price-information processing; eligible (experimental, scarcity, consumer-pricing outcome).",llm-claude-opus-4-7
openalex:W2794157377,10.2753/joa0091-3367400302,2011,Scarcity Messages,"Praveen Aggarwal, Sung Youl Jun, Jong Ho Huh",Journal of Advertising,"This study examines the relative effect of two types of scarcity messages (limited-quantity and limited-time) on consumers' purchase intentions. The moderating influence of brand concept (functional or symbolic) on this relationship is also examined. Drawing on the results of two studies, the authors conclude that the limited-quantity messages are more effective than limited-time messages in influencing consumers' purchase intentions. This differential impact is further enhanced for symbolic brands. Consumer competition is found to mediate the effect of scarcity messages on purchase intentions.",scarcity,1,include,J Advertising 2011 two studies on limited-quantity vs limited-time scarcity messages × purchase intent moderated by brand concept; eligible.,llm-claude-opus-4-7
openalex:W2095988438,10.1177/0956797612451471,2013,"When the Economy Falters, Do People Spend or Save? Responses to Resource Scarcity Depend on Childhood Environments","Vladas Griskevicius, Joshua M. Ackerman, Stephanie Cantu, Andrew W. Delton, Theresa E. Robertson, Jeffry A. Simpson, Melissa Emery Thompson, Joshua M. Tybur",Psychological Science,"Just as modern economies undergo periods of boom and bust, human ancestors experienced cycles of abundance and famine. Is the adaptive response when resources become scarce to save for the future or to spend money on immediate gains? Drawing on life-history theory, we propose that people's responses to resource scarcity depend on the harshness of their early-life environment, as reflected by childhood socioeconomic status (SES). In the three experiments reported here, we tested how people from different childhood environments responded to resource scarcity. We found that people who grew up in lower-SES environments were more impulsive, took more risks, and approached temptations more quickly. Conversely, people who grew up in higher-SES environments were less impulsive, took fewer risks, and approached temptations more slowly. Responses similarly diverged according to people's oxidative-stress levels-a urinary biomarker of cumulative stress exposure. Overall, whereas tendencies associated with early-life environments were dormant in benign conditions, they emerged under conditions of economic uncertainty.",scarcity,1,include,"Psychological Science 2013 three experiments on resource scarcity × childhood SES → spending vs saving; eligible (experimental, scarcity mechanism, commercial-decision outcome).",llm-claude-opus-4-7
openalex:W2130478903,10.1177/0956797614563958,2015,Scarcity Frames Value,"Anuj Shah, Eldar Shafir, Sendhil Mullainathan",Psychological Science,"Economic models of decision making assume that people have a stable way of thinking about value. In contrast, psychology has shown that people's preferences are often malleable and influenced by normatively irrelevant contextual features. Whereas economics derives its predictions from the assumption that people navigate a world of scarce resources, recent psychological work has shown that people often do not attend to scarcity. In this article, we show that when scarcity does influence cognition, it renders people less susceptible to classic context effects. Under conditions of scarcity, people focus on pressing needs and recognize the trade-offs that must be made against those needs. Those trade-offs frame perception more consistently than irrelevant contextual cues, which exert less influence. The results suggest that scarcity can align certain behaviors more closely with traditional economic predictions.",scarcity,1,include,"Psychological Science 2015 on scarcity framing × value perception; eligible (experimental, scarcity, decision-value outcome).",llm-claude-opus-4-7
openalex:W2224061564,10.1093/jcr/ucv051,2015,Creating When You Have Less: The Impact of Resource Scarcity on Product Use Creativity,"Ravi Mehta, Meng Zhu",Journal of Consumer Research,"This research examines how a general sense of resource availability influences consumers' product use creativity. The authors propose and demonstrate that the salience of resource scarcity versus abundance enhances the novelty of product use solutions in independent consumption environments. An investigation of the underlying process finds that scarcity salience activates a constraint mindset that persists and manifests itself through reduced functional fixedness in subsequent product usage contexts (i.e., makes consumers think beyond the traditional functionality of a given product), consequently enhancing product use creativity. This work advances the extant creativity literature, currently limited to examining the effects of context-specific resource constraints, by establishing a context-independent linkage between resource availability and product use creativity. Furthermore, this research contributes to the scarcity literature, which has primarily focused on investigating the quantity and frequency of consumption, by examining the impact of scarcity on the quality of consumption solutions.",scarcity,1,include,"J Consumer Research 2015 on resource scarcity × product-use creativity; eligible (experimental, scarcity, consumer outcome).",llm-claude-opus-4-7
openalex:W3123291811,10.1093/jcr/ucv048,2015,On the Psychology of Scarcity: When Reminders of Resource Scarcity Promote Selfish (and Generous) Behavior,"Caroline Roux, Kelly Goldsmith, Andrea Bonezzi",Journal of Consumer Research,"Journal Article On the Psychology of Scarcity: When Reminders of Resource Scarcity Promote Selfish (and Generous) Behavior Get access Caroline Roux, Caroline Roux Search for other works by this author on: Oxford Academic PubMed Google Scholar Kelly Goldsmith, Kelly Goldsmith Search for other works by this author on: Oxford Academic PubMed Google Scholar Andrea Bonezzi Andrea Bonezzi Search for other works by this author on: Oxford Academic PubMed Google Scholar Journal of Consumer Research, Volume 42, Issue 4, December 2015, Pages 615–631, https://doi.org/10.1093/jcr/ucv048 Published: 11 September 2015",scarcity,1,include,"J Consumer Research 2015 on scarcity reminders × selfish/generous behavior; eligible (experimental, scarcity, consumer-decision outcome).",llm-claude-opus-4-7
openalex:W2529428667,10.1002/jcpy.1035,2018,A Self‐Regulatory Model of Resource Scarcity,"Christopher Cannon, Kelly Goldsmith, Caroline Roux",Journal of Consumer Psychology,"Academics have shown a growing interest in the effects of resource scarcity—a discrepancy between one's current resource levels and a higher, more desirable reference point. However, the existing literature lacks an overarching theory to explain the breadth of findings across different types of resources. To address this, we introduce a self‐regulatory model of resource scarcity. In it, we propose that consumers respond to resource scarcity through two distinct psychological pathways: a scarcity‐reduction route aimed at reducing the discrepancy in resources and a control‐restoration route aimed at reestablishing diminished personal control by attaining security in other domains. We explain how a key determinant of which route the consumer will pursue is the perceived mutability of the resource discrepancy. We also specify moderators, based on our proposed model, to identify when each of the two routes is pursued. This model is assessed in the context of alternative theoretical perspectives, including commodity theory, life history theory, and models of compensatory behavior. Finally, we provide a research agenda for those interested in studying the psychology of resource scarcity from a self‐regulatory perspective.",scarcity,1,include,J Consumer Psychology 2018 self-regulatory model of resource scarcity for consumer behavior; eligible (review with empirical synthesis).,llm-claude-opus-4-7
openalex:W2891953272,10.1007/s11747-018-0604-7,2018,The effects of scarcity on consumer decision journeys,"Rebecca W. Hamilton, Debora V. Thompson, Sterling A. Bone, Lan Nguyen Chaplin, Vladas Griskevicius, Kelly Goldsmith, Ronald Paul Hill, Deborah Roedder John, Chiraag Mittal, Thomas C. O’Guinn, Paul K. Piff, Caroline Roux, Anuj Shah, Meng Zhu",Journal of the Academy of Marketing Science,,scarcity,1,include,J Academy of Marketing Science 2018 study on scarcity effects on consumer decision journeys; eligible.,llm-claude-opus-4-7
openalex:W3003633671,10.1108/ejm-04-2018-0285,2020,The use of product scarcity in marketing,"Xiaohui Shi, Feng Li, Pattarin Chumnumpan",European Journal of Marketing,"Purpose As a frequently observed business phenomenon, the use of product scarcity to improve a product’s market performance has received increasing attention from both academics and practitioners. The resulting literature has covered a wide variety of issues based on various theories, using different research methods, in a diverse range of settings. However, this diversity also makes it difficult to grasp the core themes and findings, and to see the outstanding knowledge gaps. This paper aims to review previous studies on the use of product scarcity in marketing and identifies new directions for future research. Design/methodology/approach A systematic review was conducted to identify and analyse 66 research papers published in business and management journals between 1970 and 2017. Findings The authors examined the underlying theories of scarcity-based marketing, and developed a conceptual framework that describes the key factors of product scarcity and how they influence both consumers and the market. They also highlighted some key achievements in modelling the processes involved in using product scarcity in marketing. Originality/value This analysis of the identified papers suggests that there are substantial gaps in our knowledge of this field, which opens up new paths for future research. For future research, the authors identified three directions aimed at: addressing the practical needs of firms in understanding product scarcity; guiding the implementation of scarcity-based strategies; and measuring, monitoring and predicting the level of product scarcity and its impacts during implementation.",scarcity,1,include,European J Marketing 2020 systematic review of product-scarcity marketing literature; eligible (review of empirical scarcity literature).,llm-claude-opus-4-7
openalex:W4284967436,10.1016/j.jretai.2022.06.003,2022,Scarcity tactics in marketing: A meta-analysis of product scarcity effects on consumer purchase intentions,"Belinda Barton, Natalina Zlatevska, Harmen Oppewal",Journal of Retailing,"Scarcity tactics are an essential tool for marketers. Cues that signal the current or potential unavailability of a product generally enhance its value and desirability and in turn increase purchase intentions. While there have been earlier reviews, the fragmented nature of the research to date means there is no cohesion across findings. Given that retailers employ a variety of scarcity cues in a diversity of settings, it is important to identify the magnitude of the effect of scarcity cues and how the effect on consumers’ purchase intentions changes across conditions. This research presents a meta-analysis of 416 effect sizes from 131 studies. Results show that demand-based scarcity is most effective for utilitarian products, supply-based scarcity for experiences, and time-based scarcity for high involvement products. The results show that managers need to consider the above factors to maximize the success of scarcity tactics in their marketing campaigns.",scarcity,1,include,Journal of Retailing 2022 meta-analysis of scarcity tactics × consumer purchase intent; eligible (meta-analysis).,llm-claude-opus-4-7
